pathway	pval	padj	log2err	ES	NES	size
PID_CD40_PATHWAY	0.000391379015709736	0.0348623771130326	0.49849310876659	-0.619000481580094	-2.15018485404665	13
PID_PDGFRB_PATHWAY	0.000536344263277424	0.0348623771130326	0.477270815362862	-0.357368632650306	-2.03446478773172	62
PID_CXCR4_PATHWAY	0.0044525803779809	0.104278984283415	0.407017918923954	-0.356738772963753	-1.82638759036599	43
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.00561502223064542	0.104278984283415	0.407017918923954	-0.479098441254312	-1.83432688243072	17
PID_ERBB1_DOWNSTREAM_PATHWAY	0.00269407606498685	0.104278984283415	0.431707695803346	-0.343332058500493	-1.83350470163756	49
PID_IL4_2PATHWAY	0.00552005356712499	0.104278984283415	0.407017918923954	-0.515189343369477	-1.92260924653072	16
PID_VEGFR1_PATHWAY	0.00327043744813756	0.104278984283415	0.431707695803346	-0.570928843468522	-1.92933145587901	12
PID_AVB3_OPN_PATHWAY	0.00952467410178774	0.154775954154051	0.380730400722792	-0.469079121852603	-1.84093824621299	18
PID_FAS_PATHWAY	0.018264287574276	0.204647817654165	0.352487857583619	-0.430435558530232	-1.72155133527821	19
PID_NEPHRIN_NEPH1_PATHWAY	0.01993742325169	0.204647817654165	0.352487857583619	-0.52418831294611	-1.70474992662345	11
PID_PI3KCI_PATHWAY	0.0158723724830541	0.204647817654165	0.352487857583619	-0.419877290106841	-1.77687855238515	22
PID_PTP1B_PATHWAY	0.0220389957473717	0.204647817654165	0.352487857583619	-0.434554782855952	-1.70544473749928	18
PID_TELOMERASE_PATHWAY	0.0205868021667832	0.204647817654165	0.352487857583619	-0.4099470895825	-1.73485494037199	22
PID_VEGFR1_2_PATHWAY	0.0177081011949062	0.204647817654165	0.352487857583619	-0.357487733869823	-1.68766968254383	31
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.0254617270467257	0.220668301071623	0.352487857583619	-0.446344332535739	-1.66569000681825	16
PID_AR_PATHWAY	0.0331601756504241	0.226885412345007	0.321775918075361	-0.338933861380854	-1.5283562128354	27
PID_BCR_5PATHWAY	0.0328682172809247	0.226885412345007	0.321775918075361	-0.312844671523516	-1.54209254521726	37
PID_HES_HEY_PATHWAY	0.0316048932322464	0.226885412345007	0.321775918075361	-0.406946316824109	-1.62760478596911	19
PID_MET_PATHWAY	0.0313019165056417	0.226885412345007	0.321775918075361	-0.317020557828215	-1.59812907861038	39
PID_ALPHA_SYNUCLEIN_PATHWAY	0.0372085856983039	0.232192082667108	0.321775918075361	-0.43600804105841	-1.57749783443294	14
PID_RAC1_PATHWAY	0.0375079518154558	0.232192082667108	0.321775918075361	-0.376420377254666	-1.55742860083614	21
PID_EPO_PATHWAY	0.0422750614881033	0.24980718152061	0.321775918075361	-0.420249522719945	-1.56830809610135	16
PID_IL2_1PATHWAY	0.0454911056680488	0.25712364073245	0.321775918075361	-0.35352550119138	-1.56984083686482	26
PID_AVB3_INTEGRIN_PATHWAY	0.0700636942675159	0.267890595728737	0.248911114434702	-0.363764326877056	-1.45489597746091	19
PID_CDC42_PATHWAY	0.0685840707964602	0.267890595728737	0.257206466468838	-0.320269425817263	-1.47146493657555	29
PID_ERBB1_INTERNALIZATION_PATHWAY	0.06553911205074	0.267890595728737	0.257206466468838	-0.36643578987283	-1.49015753153101	20
