pathway	pval	padj	log2err	ES	NES	size
GOBP_ERK1_AND_ERK2_CASCADE	2.64551151713508e-05	0.017846458505291	0.575610261071129	-0.412057950081017	-2.30155780445872	58
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY	3.0031903248281e-05	0.017846458505291	0.575610261071129	-0.361885376918871	-2.22483557969406	76
GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION	1.84222175362094e-05	0.017846458505291	0.575610261071129	-0.317769088889409	-2.09723502836018	111
GOBP_TUBE_MORPHOGENESIS	2.60134701938428e-05	0.017846458505291	0.575610261071129	-0.279168987935438	-1.96261863394996	163
GOBP_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	3.79819367665641e-05	0.0180566127388245	0.557332238758646	-0.189697584612927	-1.59227653354784	520
GOBP_BLOOD_VESSEL_MORPHOGENESIS	0.000137479749464921	0.0425872265840878	0.518848077743792	-0.293223177729593	-1.97402543604804	122
GOBP_POSITIVE_REGULATION_OF_JNK_CASCADE	0.000143331010800464	0.0425872265840878	0.518848077743792	-0.551687184612442	-2.31021231542369	21
GOBP_TUBE_DEVELOPMENT	0.000126884643046295	0.0425872265840878	0.518848077743792	-0.251075167429476	-1.83589440661331	194
GOBP_RESPONSE_TO_CYTOKINE	0.000197462889443308	0.0521521431340826	0.518848077743792	-0.210039567430145	-1.65046085928632	305
GOBP_ESTABLISHMENT_OF_CELL_POLARITY	0.000252747320666548	0.0560636683131816	0.49849310876659	-0.382287853669994	-2.07042798073826	53
GOBP_TAXIS	0.000259444826018089	0.0560636683131816	0.49849310876659	-0.283212391998199	-1.90435277987817	120
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY	0.000311067171674356	0.0568774359284573	0.49849310876659	-0.610585184635637	-2.24217590050466	15
GOBP_REGULATION_OF_CELL_DEATH	0.000289498844334898	0.0568774359284573	0.49849310876659	-0.193818901947048	-1.58981260229303	386
