pathway	pval	padj	log2err	ES	NES	size
GSE12366_NAIVE_VS_MEMORY_BCELL_UP	0.000105968540251601	0.111359937708788	0.538434096309916	-0.392219923774716	-2.12567204383976	53
GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP	0.000186117043997186	0.111359937708788	0.518848077743792	-0.335063547316362	-1.95700014748786	72
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP	0.00022361433274857	0.111359937708788	0.518848077743792	-0.374224898475265	-2.12181216227254	61
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_DN	0.000202382365425112	0.111359937708788	0.518848077743792	0.49059734200733	2.15073898148174	29
GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP	9.26147951984701e-05	0.111359937708788	0.538434096309916	-0.365865371042976	-2.08738436542051	63
GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP	0.000189436967336348	0.111359937708788	0.518848077743792	-0.327211902125767	-1.98455058580334	83
GSE9946_MATURE_STIMULATORY_VS_LISTERIA_INF_MATURE_DC_UP	0.00021340002872042	0.111359937708788	0.518848077743792	-0.475215312110481	-2.18798725154463	30
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_DN	7.22669152584525e-05	0.111359937708788	0.538434096309916	-0.222385975334459	-1.73439249874728	306
QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DY_AT_1DYPOSITIVE	5.98049068659615e-05	0.111359937708788	0.557332238758646	-0.301538876663262	-1.98190640758149	122
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP	0.000216470529476884	0.111359937708788	0.518848077743792	-0.401301718237287	-2.14593202681473	49
GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_UP	0.000286182351856875	0.12956255565884	0.49849310876659	-0.353851814280019	-2.05206831372859	67
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP	0.0003210211121233	0.131929961812593	0.49849310876659	-0.31883365323325	-1.9337362399937	83
GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_DN	0.000344395482643314	0.131929961812593	0.49849310876659	-0.314168411635455	-1.92457611514312	85
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP	0.000478187425919004	0.139145696393088	0.49849310876659	-0.310600623410709	-1.90272006677247	85
GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_DN	0.000493053225236728	0.139145696393088	0.477270815362862	-0.337625448959096	-1.92626616046293	63
GSE31082_DN_VS_DP_THYMOCYTE_DN	0.000470512875563586	0.139145696393088	0.49849310876659	-0.309045466980301	-1.89790004554192	87
GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_1H_DN	0.00050293625202321	0.139145696393088	0.477270815362862	-0.376730032821881	-2.03636271804275	52
GSE8685_IL15_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP	0.000478455473408821	0.139145696393088	0.49849310876659	-0.396571181296647	-2.09590477885932	46
GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_UP	0.000579000334323923	0.147985055086873	0.477270815362862	-0.393476608115106	-2.07954975603966	46
GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	0.000594317490308725	0.147985055086873	0.477270815362862	-0.319893525435555	-1.93063966833601	82
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	0.000773556810563163	0.159211745291622	0.477270815362862	-0.327350389199564	-1.90955888500712	68
GSE17721_CPG_VS_GARDIQUIMOD_24H_BMDC_UP	0.00102205271359666	0.159211745291622	0.45505986738723	-0.381078022640648	-2.01402241625152	46
GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP	0.00102205271359666	0.159211745291622	0.45505986738723	-0.381925436541003	-2.01850105445619	46
GSE24210_RESTING_TREG_VS_TCONV_UP	0.00115092827921654	0.159211745291622	0.45505986738723	-0.303618004740417	-1.83572287494641	79
GSE26030_UNSTIM_VS_RESTIM_TH1_DAY15_POST_POLARIZATION_UP	0.00108276678827371	0.159211745291622	0.45505986738723	-0.334409531169778	-1.92749320978152	66
GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_DN	0.00100312568861209	0.159211745291622	0.45505986738723	-0.383335650068191	-2.00783679184188	45
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	0.000956918881092789	0.159211745291622	0.477270815362862	-0.30526290812908	-1.86787066758368	84
GSE27786_CD4_TCELL_VS_NKCELL_DN	0.000891381292518551	0.159211745291622	0.477270815362862	-0.325077599121518	-1.8546764784552	63
GSE27786_LSK_VS_ERYTHROBLAST_UP	0.000923275574810976	0.159211745291622	0.477270815362862	-0.324177627163083	-1.89105096158112	68
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP	0.00114601027178539	0.159211745291622	0.45505986738723	-0.303602853612544	-1.85771297382052	84
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.000929960437297259	0.159211745291622	0.477270815362862	-0.295888042466649	-1.82466489417049	91
GSE3982_MAST_CELL_VS_BASOPHIL_DN	0.00105157616714157	0.159211745291622	0.45505986738723	-0.322211328041741	-1.89428708215287	73
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_DN	0.000974544178367708	0.159211745291622	0.477270815362862	-0.332506488115016	-1.93483217469157	71
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.000893122118966017	0.159211745291622	0.477270815362862	-0.360034264619407	-1.97251376340865	54
GSE7460_FOXP3_MUT_VS_WT_ACT_WITH_TGFB_TCONV_DN	0.000682232883971834	0.159211745291622	0.477270815362862	-0.332539510999405	-1.89724918257761	63
NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP	0.00108867368526266	0.159211745291622	0.45505986738723	-0.179593619171274	-1.50451826752281	493
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.00127111767952208	0.171085568757296	0.45505986738723	-0.310555922182263	-1.86260358580183	78
GSE10325_BCELL_VS_MYELOID_DN	0.00141514009140104	0.17618494137943	0.45505986738723	0.477369387505703	2.00511099937559	26
GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP	0.00137120369294863	0.17618494137943	0.45505986738723	-0.29223012310023	-1.79018352646045	85
GSE40274_CTRL_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.00140816354349947	0.17618494137943	0.45505986738723	-0.39241948889671	-1.94798251573443	39
GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_UP	0.00145444825008491	0.176662250863972	0.45505986738723	-0.343340753055144	-1.94670260745457	61
GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.00151110319056497	0.179173664024132	0.45505986738723	-0.306842233626551	-1.78988804281973	69
