pathway	pval	padj	log2err	ES	NES	size
PID_FAK_PATHWAY	0.000163950154589859	0.015620656432883	0.518848077743792	-0.41085095385155	-2.13453275257342	43
PID_PDGFRB_PATHWAY	0.000194045421526497	0.015620656432883	0.518848077743792	-0.341676393916882	-2.02372956545166	68
PID_PLK1_PATHWAY	0.00163453641923999	0.0877201211658794	0.45505986738723	-0.544195649794121	-1.97962179326744	15
PID_BCR_5PATHWAY	0.00547267164028781	0.176220026817267	0.407017918923954	-0.397278126100362	-1.87988036396896	30
PID_MET_PATHWAY	0.00493570007041611	0.176220026817267	0.407017918923954	-0.325604475708364	-1.79149927467442	53
PID_ALK1_PATHWAY	0.0104915380318651	0.211142202891285	0.380730400722792	0.578790307541295	1.84001712537172	10
PID_AVB3_INTEGRIN_PATHWAY	0.00904445003588357	0.211142202891285	0.380730400722792	0.374124781371188	1.78222071794981	31
PID_ERBB1_DOWNSTREAM_PATHWAY	0.0101568559960521	0.211142202891285	0.380730400722792	-0.297758359760316	-1.71586320226282	61
PID_ILK_PATHWAY	0.0139299576675628	0.213066235349682	0.380730400722792	-0.435521046422123	-1.79460720564283	21
PID_PI3KCI_AKT_PATHWAY	0.014557320427618	0.213066235349682	0.380730400722792	-0.430052680444294	-1.65193478526223	17
PID_VEGFR1_2_PATHWAY	0.0135795405339533	0.213066235349682	0.380730400722792	-0.319999647799383	-1.66940136348325	44
PID_CXCR4_PATHWAY	0.0183754505274837	0.224959801178573	0.352487857583619	-0.312968782307167	-1.63431961258287	45
PID_KIT_PATHWAY	0.0195321173092286	0.224959801178573	0.352487857583619	-0.370350039557595	-1.71316326956234	28
PID_SYNDECAN_1_PATHWAY	0.019561721841615	0.224959801178573	0.352487857583619	0.490073121621277	1.73924592636606	13
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.0225849730000749	0.242412043534137	0.352487857583619	-0.38808988943214	-1.6392029574355	23
PID_AURORA_B_PATHWAY	0.0329248697879745	0.331306502241493	0.321775918075361	-0.512656321369993	-1.61435687186657	10
PID_P38_ALPHA_BETA_PATHWAY	0.0456203230491801	0.408048445051	0.321775918075361	-0.452980160377516	-1.58298670240519	13
