pathway	pval	padj	log2err	ES	NES	size
GOBP_CYTOSKELETON_ORGANIZATION	1.16900383995429e-08	3.34451998610923e-05	0.747739663149885	-0.230208982378184	-2.04174788044202	514
GOBP_ACTIN_FILAMENT_BASED_PROCESS	1.0508742580042e-06	0.00150327562607501	0.643551836150722	-0.250609125057582	-2.07421265836356	300
GOBP_ACTIVATION_OF_JUN_KINASE_ACTIVITY	6.55092908217554e-06	0.00624740270136807	0.610526878385931	-0.658342221043445	-2.63456082822246	18
GOBP_ACTIN_FILAMENT_ORGANIZATION	3.76926882700805e-05	0.0156154071878649	0.557332238758646	-0.269916627851602	-1.99922674098281	180
GOBP_CELL_JUNCTION_ORGANIZATION	4.01306753300896e-05	0.0156154071878649	0.557332238758646	-0.243552365729571	-1.93362639359818	245
GOBP_JNK_CASCADE	5.22764336700015e-05	0.0156154071878649	0.557332238758646	-0.34595449876773	-2.15283018142436	80
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	5.49271803312399e-05	0.0156154071878649	0.557332238758646	-0.62025215772695	-2.42801846209747	17
GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY	4.01227580689488e-05	0.0156154071878649	0.557332238758646	-0.525063276655008	-2.48914805433374	29
GOBP_PROTEIN_LOCALIZATION_TO_MICROTUBULE_ORGANIZING_CENTER	5.23473750999271e-05	0.0156154071878649	0.557332238758646	-0.588737707203623	-2.48470597375842	21
GOBP_PROTEIN_PHOSPHORYLATION	4.37987044604033e-05	0.0156154071878649	0.557332238758646	-0.185039331917475	-1.66321090622302	573
GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	6.00382660141606e-05	0.0156154071878649	0.557332238758646	-0.238493883298992	-1.92254719918859	260
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	7.24762358173834e-05	0.0159503469748872	0.538434096309916	-0.285096661030231	-2.02897520164411	141
GOBP_PROTEIN_LOCALIZATION_TO_CYTOSKELETON	6.70916377639194e-05	0.0159503469748872	0.538434096309916	-0.520534049116764	-2.40590948724793	27
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	8.73327101721431e-05	0.0178044070209818	0.538434096309916	-0.196206190227843	-1.70211031222822	438
GOBP_PHAGOCYTOSIS	9.46714760658925e-05	0.0178044070209818	0.538434096309916	-0.314491557035003	-2.05940762303688	99
GOBP_REGULATION_OF_JUN_KINASE_ACTIVITY	9.95702594672171e-05	0.0178044070209818	0.538434096309916	-0.467558004296369	-2.32701260098191	35
GOBP_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	0.000205597786655844	0.0346008980954335	0.518848077743792	-0.543534047881644	-2.36396620023271	23
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS	0.000236502251107055	0.0375907189120714	0.518848077743792	-0.260534835007008	-1.86714632451087	148
GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION	0.000289389815936826	0.0394259173045362	0.49849310876659	-0.239326426992639	-1.80937615048064	201
GOBP_REGULATION_OF_MRNA_PROCESSING	0.000288650731310166	0.0394259173045362	0.49849310876659	-0.343625894602861	-2.07265885284661	66
GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	0.000283692907508046	0.0394259173045362	0.49849310876659	-0.285963572035599	-1.94616242250673	116
GOBP_CELL_JUNCTION_ASSEMBLY	0.000328151428412749	0.0426746016676761	0.49849310876659	-0.263938293085306	-1.88517122458909	144
GOBP_REGULATION_OF_RESPONSE_TO_STRESS	0.000441914632403955	0.0549703375351181	0.49849310876659	-0.186851088758758	-1.63743440945323	458
