pathway	pval	padj	log2err	ES	NES	size
GSE24026_PD1_LIGATION_VS_CTRL_IN_ACT_TCELL_LINE_DN	2.24954000408689e-06	0.00441398990397975	0.627256739718528	-0.368083031889471	-2.36570016488567	92
GSE42021_TREG_PLN_VS_CD24INT_TREG_THYMUS_DN	2.7003427090019e-06	0.00441398990397975	0.627256739718528	-0.377871721233401	-2.40286750185339	85
GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_UP	3.52344035440411e-06	0.00441398990397975	0.627256739718528	-0.403271022490086	-2.39085536511247	66
NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP	2.23639284056906e-06	0.00441398990397975	0.627256739718528	-0.199427475730505	-1.78535369775222	593
ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP	1.18870836083398e-05	0.00992769599356514	0.593325476396405	-0.229620052372637	-1.89155990782052	315
NAKAYA_MYELOID_DENDRITIC_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	1.13293929719279e-05	0.00992769599356514	0.593325476396405	-0.297670383685338	-2.09014925533573	138
GSE13306_TREG_VS_TCONV_SPLEEN_UP	1.79239245549962e-05	0.0112270982431357	0.575610261071129	-0.389998260303783	-2.31284914724087	64
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_UP	1.64172060264758e-05	0.0112270982431357	0.575610261071129	-0.17693755901864	-1.62587501663265	810
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN	2.87596209226967e-05	0.0144114460443633	0.575610261071129	-0.360035386751838	-2.25842049484681	79
OSMAN_BLOOD_CHAD63_KH_AGE_18_50YO_HIGH_DOSE_SUBJECTS_24HR_DN	2.67863941649417e-05	0.0144114460443633	0.575610261071129	-0.177276622945584	-1.61827554892282	719
GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_UP	4.71332685666013e-05	0.0214713462533854	0.557332238758646	-0.300081322749853	-2.05395535330385	126
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	6.71746672813505e-05	0.028051021478904	0.538434096309916	-0.364287612635102	-2.18689553543523	71
GSE29618_BCELL_VS_MDC_UP	9.56644405852968e-05	0.0368749624440709	0.538434096309916	-0.324042218973116	-2.0679968579923	87
GSE21033_CTRL_VS_POLYIC_STIM_DC_6H_DN	0.000159560031206246	0.0506670544923551	0.518848077743792	-0.35182729558332	-2.11209361852804	71
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP	0.000147817915239452	0.0506670544923551	0.518848077743792	-0.312052047467576	-2.0116889453692	95
GSE3982_CTRL_VS_LPS_4H_MAC_DN	0.000161778661320631	0.0506670544923551	0.518848077743792	-0.334958366728982	-2.10111802388626	79
GSE27786_NKCELL_VS_MONO_MAC_UP	0.000199983855315257	0.0556732832769308	0.518848077743792	-0.32569797849878	-2.08851175988062	88
GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_DN	0.00019442294180184	0.0556732832769308	0.518848077743792	-0.319482169514098	-2.05333839274744	92
GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_DN	0.000280381572639182	0.0627814427883887	0.49849310876659	-0.314170328720292	-2.01919875154408	92
GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_UP	0.000262720118538306	0.0627814427883887	0.49849310876659	-0.325718545802258	-2.045186297121	80
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_NK_CELL_DN	0.000256805892099344	0.0627814427883887	0.49849310876659	-0.323968544660562	-2.06009988005102	85
GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP	0.00028424393617131	0.0627814427883887	0.49849310876659	-0.306798561729999	-1.97086684165913	91
NAKAYA_B_CELL_FLUARIX_FLUVIRIN_AGE_18_50YO_7DY_DN	0.000288160683323277	0.0627814427883887	0.49849310876659	-0.261222363664709	-1.85278492528289	147
GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP	0.000303639900458171	0.0633974808831622	0.49849310876659	-0.353791691436893	-2.09708953160922	65
GSE22886_CTRL_VS_LPS_24H_DC_DN	0.000330881896532304	0.066321967340935	0.49849310876659	-0.333815017785031	-1.9875936617977	68
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_3DY_DN	0.000366683972653481	0.0706712841140997	0.49849310876659	-0.197018769471437	-1.65371087273142	364
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP	0.000410825432358318	0.0735230800552691	0.49849310876659	-0.315609019142808	-2.02381712972963	88
GSE41867_NAIVE_VS_DAY15_LCMV_EFFECTOR_CD8_TCELL_DN	0.000399063388150669	0.0735230800552691	0.49849310876659	-0.289929660907405	-1.89660786508062	102
GSE1432_1H_VS_6H_IFNG_MICROGLIA_DN	0.000489375903122984	0.0764451181242146	0.477270815362862	-0.295920899187327	-1.92261849925681	100
GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_UP	0.000496400694422824	0.0764451181242146	0.477270815362862	-0.346405167259747	-2.05155106611217	67
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_DN	0.000469568971033425	0.0764451181242146	0.49849310876659	-0.33784452848107	-1.9929079973911	63
GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN	0.000483250625278335	0.0764451181242146	0.49849310876659	-0.299465382234682	-1.92559449538872	97
GSE9601_UNTREATED_VS_NFKB_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_DN	0.000503430233106981	0.0764451181242146	0.477270815362862	-0.27986728405731	-1.84726925526229	108
GSE12003_4D_VS_8D_CULTURE_BM_PROGENITOR_DN	0.000618737942295247	0.0861869451944512	0.477270815362862	-0.339783336160542	-1.97107609961602	59
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	0.000686437791121098	0.0861869451944512	0.477270815362862	0.478279622757686	2.17188001290853	26
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP	0.00073072350443065	0.0861869451944512	0.477270815362862	-0.294197280664505	-1.88991650449208	91
GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_DN	0.000704214068580409	0.0861869451944512	0.477270815362862	-0.330680429588607	-1.9877149281112	72
GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN	0.000727516976227326	0.0861869451944512	0.477270815362862	-0.300091748239736	-1.88070903725709	81
GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_UP	0.000607904009453502	0.0861869451944512	0.477270815362862	-0.31274597451927	-1.96373154003603	80
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD8_TCELL_UP	0.000719029898360983	0.0861869451944512	0.477270815362862	-0.362756796599729	-2.01033836517185	51
GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_UP	0.00072186635893624	0.0861869451944512	0.477270815362862	-0.294368913311519	-1.89101906863397	91
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_UP	0.000673958142851033	0.0861869451944512	0.477270815362862	-0.308859135757102	-1.98053405227902	88
GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN	0.000739580651239553	0.0861869451944512	0.477270815362862	-0.294748371978579	-1.89371185577122	89
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP	0.000905922156699887	0.0922564221411759	0.477270815362862	-0.218087905566429	-1.67981793732896	213
GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.000920539035533585	0.0922564221411759	0.477270815362862	-0.357684008100374	-1.98222580757336	51
GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_DN	0.00088971398357118	0.0922564221411759	0.477270815362862	-0.332322511051304	-1.92779600759501	59
GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_UP	0.000902418188377413	0.0922564221411759	0.477270815362862	-0.284881047719083	-1.85357331786175	101
GSE34515_CD16_POS_MONOCYTE_VS_DC_DN	0.000849773523750353	0.0922564221411759	0.477270815362862	-0.306044176766328	-1.93844861906545	84
GSE42021_TREG_VS_TCONV_PLN_UP	0.000837009340960155	0.0922564221411759	0.477270815362862	-0.292874322693461	-1.8816713843491	89
NAKAYA_MYELOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP	0.000878538670321227	0.0922564221411759	0.477270815362862	-0.236356519168388	-1.75540733473076	174
GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_DN	0.000947491189817574	0.0930956539642327	0.477270815362862	-0.284453881423507	-1.83377335085901	95
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	0.0009918694563502	0.094145488863141	0.45505986738723	-0.303743319091601	-1.9367080770348	86
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_DN	0.000995751528586404	0.094145488863141	0.45505986738723	-0.31752671887615	-1.8906102489855	68
GSE40666_WT_VS_STAT4_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP	0.00104548260841113	0.0970169139027439	0.45505986738723	-0.301753861922636	-1.92402303171571	86
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP	0.00108918331615966	0.0974624570942157	0.45505986738723	-0.457104207617922	-2.10568056713225	27
GSE27786_BCELL_VS_CD4_TCELL_DN	0.00107493855729	0.0974624570942157	0.45505986738723	-0.317781414515254	-1.92364604026477	73
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	0.00113263015023563	0.0980308357253641	0.45505986738723	-0.288279524527331	-1.87014798379338	98
HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP	0.00113466143924788	0.0980308357253641	0.45505986738723	-0.325851955743482	-1.89026045019361	59
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	0.00124449058160242	0.0996597527667747	0.45505986738723	-0.322440888585493	-1.9112585975921	65
GSE2706_R848_VS_LPS_8H_STIM_DC_DN	0.00127284457734456	0.0996597527667747	0.45505986738723	-0.317049751157841	-1.90257336552376	70
GSE28737_WT_VS_BCL6_KO_MARGINAL_ZONE_BCELL_DN	0.00126983706574903	0.0996597527667747	0.45505986738723	-0.277265118640455	-1.78089596159737	93
GSE32423_CTRL_VS_IL7_MEMORY_CD8_TCELL_DN	0.00123624269954817	0.0996597527667747	0.45505986738723	-0.352731023766436	-1.99687778416662	54
GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN	0.00119930892894863	0.0996597527667747	0.45505986738723	-0.31649283435503	-1.91584579767803	73
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_DN	0.00127037782428769	0.0996597527667747	0.45505986738723	-0.182727619758009	-1.5318987364085	374
GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP	0.00140017557869184	0.107942766535766	0.45505986738723	-0.297079060664878	-1.86535900968392	80
GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_UP	0.00142262564173769	0.108011774102236	0.45505986738723	0.303161260629522	1.86767771441199	76
GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_UP	0.00154630279798212	0.114029763905588	0.45505986738723	-0.329700090986665	-1.92998124888924	61
GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_DN	0.00163842406729242	0.114029763905588	0.45505986738723	-0.31748078730522	-1.94227384503478	75
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN	0.00163327795657623	0.114029763905588	0.45505986738723	0.386268057874716	1.9658642014813	39
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP	0.0016142124551376	0.114029763905588	0.45505986738723	-0.291333325525479	-1.83995525308366	83
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_DN	0.00160889663227152	0.114029763905588	0.45505986738723	-0.287627489437175	-1.85511504652403	96
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN	0.00162368924058851	0.114029763905588	0.45505986738723	-0.293576180751285	-1.88253334806067	88
GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDC_UP	0.00181796659220199	0.115314311310433	0.45505986738723	-0.268968427268328	-1.77843788931684	107
