pathway	pval	padj	log2err	ES	NES	size
PID_AR_TF_PATHWAY	0.00188236753054973	0.068706414865065	0.45505986738723	-0.458605194449218	-1.92166435160597	23
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.00172631779583383	0.068706414865065	0.45505986738723	-0.537133964528986	-2.03738664378954	17
PID_TCPTP_PATHWAY	0.00182773766831484	0.068706414865065	0.45505986738723	-0.501146442434795	-2.00782327429499	20
PID_TRAIL_PATHWAY	0.000505232437187863	0.068706414865065	0.477270815362862	-0.60149736355531	-2.0769149637555	14
PID_NEPHRIN_NEPH1_PATHWAY	0.00435472146857472	0.127157866882382	0.407017918923954	-0.589102873877652	-1.91755432926104	12
PID_AR_PATHWAY	0.00635678474183023	0.132584367472459	0.407017918923954	-0.413051519209611	-1.75725813265401	24
PID_REG_GR_PATHWAY	0.00610769463691943	0.132584367472459	0.407017918923954	-0.417944817312127	-1.84954204881985	26
PID_PI3K_PLC_TRK_PATHWAY	0.00842526666365577	0.153761116611718	0.380730400722792	-0.564794963270771	-1.83843107034244	12
PID_MET_PATHWAY	0.00962266719770767	0.156101045651702	0.380730400722792	-0.34832309009833	-1.7459155696569	39
PID_PDGFRB_PATHWAY	0.0123528974303492	0.180352302483098	0.380730400722792	-0.285483734590053	-1.6462356873183	63
PID_BARD1_PATHWAY	0.0169337436448735	0.193782873965903	0.352487857583619	-0.539882140372496	-1.75733879678374	12
PID_BCR_5PATHWAY	0.018072435814042	0.193782873965903	0.352487857583619	-0.381946867341421	-1.69023938640063	26
PID_FCER1_PATHWAY	0.0157582523633387	0.193782873965903	0.352487857583619	-0.395778953342679	-1.65840752560156	23
PID_INSULIN_PATHWAY	0.018581919421388	0.193782873965903	0.352487857583619	-0.438461066366251	-1.73114416687193	19
PID_FAS_PATHWAY	0.0241250311940414	0.199098933465708	0.352487857583619	-0.497468630230317	-1.66779290983539	13
PID_FGF_PATHWAY	0.0271300424310369	0.199098933465708	0.352487857583619	-0.447321806536924	-1.61018600628173	15
PID_ILK_PATHWAY	0.0272738265021518	0.199098933465708	0.352487857583619	-0.4084123499422	-1.63628782385331	20
PID_LYMPH_ANGIOGENESIS_PATHWAY	0.0246209349267064	0.199098933465708	0.352487857583619	-0.450660020330567	-1.62220228864926	15
PID_P38_MKK3_6PATHWAY	0.0213049112186873	0.199098933465708	0.352487857583619	-0.478898773091054	-1.65359332928398	14
PID_RAC1_REG_PATHWAY	0.0245074413921177	0.199098933465708	0.352487857583619	-0.399255383075612	-1.63732200934726	21
PID_HEDGEHOG_GLI_PATHWAY	0.0357356452762212	0.217391842097012	0.321775918075361	-0.380642732338804	-1.56099266227895	21
PID_HES_HEY_PATHWAY	0.0343932197323827	0.217391842097012	0.321775918075361	-0.388620165037874	-1.59726959535448	22
PID_TCR_PATHWAY	0.0335882720365184	0.217391842097012	0.321775918075361	-0.364938611517068	-1.5291791910887	23
PID_VEGFR1_PATHWAY	0.034695577708052	0.217391842097012	0.321775918075361	-0.503646880216557	-1.63939151955088	12
PID_ERBB1_DOWNSTREAM_PATHWAY	0.0399359219106528	0.233225783958212	0.321775918075361	-0.276414239865257	-1.48992471298585	51
PID_BETA_CATENIN_NUC_PATHWAY	0.043272015770108	0.242989011632145	0.321775918075361	-0.347157146868732	-1.53628353334151	26
PID_ER_NONGENOMIC_PATHWAY	0.0456465885722161	0.24682970116828	0.321775918075361	-0.400836172569011	-1.58259251560203	19
PID_PI3KCI_PATHWAY	0.0530785562632696	0.276766757658477	0.287857117255149	-0.394110855816644	-1.55603943310667	19
PID_FAK_PATHWAY	0.05625	0.278980891719745	0.276500599254472	-0.300955522635701	-1.4981917998182	37
PID_TNF_PATHWAY	0.0573248407643312	0.278980891719745	0.276500599254472	-0.389164586642575	-1.53651043569892	19
PID_IL6_7_PATHWAY	0.0636942675159236	0.286872160137541	0.261663521711573	-0.378149164184197	-1.49301903863489	19
PID_LYSOPHOSPHOLIPID_PATHWAY	0.0659574468085106	0.286872160137541	0.257206466468838	-0.3467311482808	-1.45288560903206	23
PID_NFKAPPAB_CANONICAL_PATHWAY	0.0668058455114822	0.286872160137541	0.252961123069611	-0.481912114258011	-1.49047535617179	10
PID_SHP2_PATHWAY	0.0663811563169165	0.286872160137541	0.257206466468838	-0.360151746737843	-1.47696037833272	21
