pathway	pval	padj	log2err	ES	NES	size
GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	4.99231489688324e-09	1.27054414125679e-05	0.761460801445585	-0.232521908786964	-1.96985639125076	511
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	6.30038601620618e-06	0.00801724120562236	0.610526878385931	-0.247248399813351	-1.89278273052325	263
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	6.40242437815269e-05	0.0362209141250834	0.538434096309916	-0.222487917770551	-1.7424979523818	297
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	7.11609314834645e-05	0.0362209141250834	0.538434096309916	-0.196160345983093	-1.64497649572614	447
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	6.4800295221303e-05	0.0362209141250834	0.538434096309916	-0.196201181460647	-1.62412661976307	425
GOBP_CELL_MIGRATION	0.000162809876043607	0.0376682849573618	0.518848077743792	-0.199894923567988	-1.63310829398741	387
GOBP_MAPK_CASCADE	0.000146732520170855	0.0376682849573618	0.518848077743792	-0.232929956331181	-1.75538938817303	239
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	0.000162632328858099	0.0376682849573618	0.518848077743792	-0.186336147639094	-1.56087501900594	449
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	0.000132944293827313	0.0376682849573618	0.518848077743792	-0.245699031024036	-1.83676762118453	214
GOBP_PROTEIN_CATABOLIC_PROCESS	0.000107711673171019	0.0376682849573618	0.538434096309916	-0.210100520982841	-1.67461529175083	339
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	0.000129586917826414	0.0376682849573618	0.518848077743792	-0.209587291418676	-1.67959314902308	332
GOBP_CELL_PROJECTION_ORGANIZATION	0.000238734104983219	0.0419470768792561	0.518848077743792	-0.189263268548706	-1.5633255540601	428
GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY	0.000222015834340434	0.0419470768792561	0.518848077743792	-0.269615298486407	-1.8826874137632	144
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	0.000207440728091406	0.0419470768792561	0.518848077743792	-0.189120372164363	-1.59329815134983	491
GOBP_PROTEIN_PHOSPHORYLATION	0.000263714432246797	0.0419470768792561	0.49849310876659	-0.181589785726645	-1.52861895909941	477
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	0.000252627338999183	0.0419470768792561	0.49849310876659	-0.193950629252278	-1.58804444235863	395
GOBP_REGULATION_OF_MAPK_CASCADE	0.000284508686495032	0.0425926239488151	0.49849310876659	-0.24613316729205	-1.78484704904215	180
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	0.00034276308725756	0.0484628920594716	0.49849310876659	-0.209956485240979	-1.64009628475247	294
GOBP_LAMELLIPODIUM_ORGANIZATION	0.000392105616006012	0.0525215154071211	0.49849310876659	-0.432864863861602	-2.09823746451971	36
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	0.000427097881963141	0.0543482054798097	0.49849310876659	-0.23033125119101	-1.71520636519678	219
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	0.000602355864911569	0.061874362909325	0.477270815362862	-0.288688991261201	-1.83571731184784	95
GOBP_CELL_MORPHOGENESIS	0.000570801835005882	0.061874362909325	0.477270815362862	-0.203710020124019	-1.59637511068305	300
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	0.000525474980843352	0.061874362909325	0.477270815362862	-0.217547823447499	-1.6543258906243	254
GOBP_PEPTIDYL_TYROSINE_MODIFICATION	0.000546910584740148	0.061874362909325	0.477270815362862	-0.297579887220392	-1.90470447029337	99
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	0.000607803171997298	0.061874362909325	0.477270815362862	-0.234878044505109	-1.71908315933564	192
GOBP_CELL_PART_MORPHOGENESIS	0.000661178081878925	0.0623221562363653	0.477270815362862	-0.229413273984747	-1.69867390065584	201
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE	0.000642214646751471	0.0623221562363653	0.477270815362862	-0.269453278548345	-1.80458321457049	128
GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY	0.000710554173144981	0.0645842989519277	0.477270815362862	-0.18521639967207	-1.51998980685261	403
GOBP_POSITIVE_REGULATION_OF_SIGNALING	0.000760253696594727	0.0667188157873648	0.477270815362862	-0.184669599875735	-1.53927001592634	443
GOBP_ACTIN_FILAMENT_BASED_PROCESS	0.000874719442515801	0.0742053660400905	0.477270815362862	-0.211945672186954	-1.61172475710503	254
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	0.000908734469498923	0.0746041685443471	0.477270815362862	-0.267135298010432	-1.76054133165759	120
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	0.00102904194864756	0.0752874293831842	0.45505986738723	-0.22753961546276	-1.66537286125621	192
GOBP_LOCOMOTION	0.000989493841673285	0.0752874293831842	0.45505986738723	-0.175238936185698	-1.47204941913774	468
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	0.00103538704456245	0.0752874293831842	0.45505986738723	-0.172824442047923	-1.47255908561592	517
GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	0.00100114131103744	0.0752874293831842	0.45505986738723	-0.2059731871678	-1.59148453322526	278
GOBP_LEUKOCYTE_MIGRATION	0.00108467079097331	0.076680198972974	0.45505986738723	-0.284891653591937	-1.81813219892579	97
GOBP_CYTOSKELETON_ORGANIZATION	0.0011403717020005	0.0784390805835481	0.45505986738723	-0.182397090574928	-1.50917736667499	419
GOBP_POSITIVE_REGULATION_OF_CELL_DEATH	0.00125132399799807	0.0836090554655943	0.45505986738723	-0.234049508716023	-1.67605602076071	171
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	0.00128123896391284	0.0836090554655943	0.45505986738723	-0.211127980157666	-1.61024272239051	265
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	0.00131635300589206	0.0837529599998823	0.45505986738723	-0.177195673091877	-1.4836595448315	448
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	0.00135079464436501	0.0838481065831452	0.45505986738723	-0.19666082571627	-1.5411869747465	306
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	0.00148956466161737	0.084257185882867	0.45505986738723	-0.573621221976362	-2.05041667664713	14
GOBP_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	0.00144614649746286	0.084257185882867	0.45505986738723	-0.175251256106527	-1.46993497460618	461
GOBP_NEURON_DEVELOPMENT	0.00148708687719636	0.084257185882867	0.45505986738723	-0.196500295809428	-1.54578145223296	303
GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	0.00148981271698586	0.084257185882867	0.45505986738723	-0.213510216983708	-1.60432906667438	233
