pathway	pval	padj	log2err	ES	NES	size
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_A3R_INH_AND_TCELL_MEMBRANES_ACT_MAST_CELL_UP	2.08556043560313e-06	0.0104403155406293	0.627256739718528	-0.363000999606729	-2.30686690649225	94
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_UP	7.6187897125171e-06	0.0190698306504303	0.610526878385931	-0.349850431826459	-2.22457554353822	95
GSE18893_TCONV_VS_TREG_2H_CULTURE_DN	7.40649074204141e-05	0.0741537853093186	0.538434096309916	-0.330693159863807	-2.04909193370258	86
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_UP	4.6369266372729e-05	0.0741537853093186	0.557332238758646	-0.371764486150966	-2.14160514372472	67
GSE7768_OVA_ALONE_VS_OVA_WITH_LPS_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_DN	6.68841175462037e-05	0.0741537853093186	0.538434096309916	-0.394930747731986	-2.20863114523171	56
GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP	0.000254935336096094	0.0892771365557827	0.49849310876659	-0.331122226992498	-1.96446098724481	74
GSE27786_CD4_TCELL_VS_MONO_MAC_UP	0.000140493650243959	0.0892771365557827	0.518848077743792	-0.354228844110442	-2.03722407084262	65
GSE27786_CD8_TCELL_VS_MONO_MAC_UP	0.000226105871550966	0.0892771365557827	0.518848077743792	-0.351860962866805	-2.04944192801608	69
GSE27786_NKCELL_VS_NEUTROPHIL_DN	0.000229205027720518	0.0892771365557827	0.518848077743792	-0.390010846236355	-2.1008061266607	52
GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP	0.000262133349503002	0.0892771365557827	0.49849310876659	-0.335707853848617	-1.97653386071345	71
GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_DN	0.000267510397190719	0.0892771365557827	0.49849310876659	-0.318882337923872	-1.96170886358183	85
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.000208682865525377	0.0892771365557827	0.518848077743792	-0.377272306659407	-2.10987716582365	56
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_DN	0.000169914644008462	0.0892771365557827	0.518848077743792	-0.336912027607445	-2.01817791041072	79
GSE7852_LN_VS_THYMUS_TREG_UP	0.000264019200938275	0.0892771365557827	0.49849310876659	-0.337979200399877	-2.00328902924144	77
NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP	0.000255498024653039	0.0892771365557827	0.49849310876659	-0.184432463436514	-1.5885990053622	512
GSE15330_WT_VS_IKAROS_KO_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.000304904561791437	0.0938122053389728	0.49849310876659	-0.336508194388747	-2.01097525675724	75
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_UP	0.000318579203108777	0.0938122053389728	0.49849310876659	-0.312806989122714	-1.94529134920318	88
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN	0.000595680833307389	0.110443638945807	0.477270815362862	-0.317935612159275	-1.93366055778648	81
GSE14308_TH17_VS_NATURAL_TREG_DN	0.000498769344313097	0.110443638945807	0.477270815362862	-0.333666294893984	-1.9189657163406	65
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	0.000574292986155988	0.110443638945807	0.477270815362862	-0.310367165768974	-1.94104167173719	90
GSE17721_12H_VS_24H_PAM3CSK4_BMDC_UP	0.000541810351192414	0.110443638945807	0.477270815362862	-0.387313030142241	-2.04621074856352	48
GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_DN	0.000538218229408822	0.110443638945807	0.477270815362862	-0.311754570018712	-1.9349849194902	87
GSE22886_NAIVE_VS_MEMORY_TCELL_DN	0.000451236982818284	0.110443638945807	0.49849310876659	-0.322477658229012	-1.96128494146924	81
GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN	0.000591505500363645	0.110443638945807	0.477270815362862	-0.445867188384646	-2.16300529327603	35
GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_UP	0.000467416037092682	0.110443638945807	0.49849310876659	-0.310611278412982	-1.91082673928682	85
GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_DN	0.000513602676431744	0.110443638945807	0.477270815362862	-0.317074891743866	-1.89934905858849	79
GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_UP	0.000419404860292551	0.110443638945807	0.49849310876659	0.361805214679134	1.98404334833956	62
GSE24634_NAIVE_CD4_TCELL_VS_DAY3_IL4_CONV_TREG_UP	0.000623477927917331	0.111468946684077	0.477270815362862	-0.325136689094537	-1.9430190638322	75
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_UP	0.000684764984244109	0.118204603831931	0.477270815362862	-0.312277649085199	-1.90498378620784	82
GSE30962_ACUTE_VS_CHRONIC_LCMV_SECONDARY_INF_CD8_TCELL_UP	0.000753026316235846	0.125654991302555	0.477270815362862	-0.296547052304533	-1.83751055840028	86
GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_DN	0.000853266628531731	0.137788798142898	0.477270815362862	-0.336986046888485	-1.93891127248612	66
GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_DN	0.00092391149101894	0.142210408569882	0.477270815362862	-0.338401179298186	-1.93017936284748	64
GSE8685_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP	0.00095030896219091	0.142210408569882	0.477270815362862	-0.313814310225634	-1.84763210936703	71
NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_UP	0.00096587173219656	0.142210408569882	0.477270815362862	-0.163387691262683	-1.44277149242311	687
