pathway	pval	padj	log2err	ES	NES	size
GSE21063_WT_VS_NFATC1_KO_BCELL_DN	3.57355292893279e-05	0.0895532363990558	0.557332238758646	-0.368238076971936	-2.13769845074168	75
GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_UP	2.90525326333492e-05	0.0895532363990558	0.575610261071129	-0.375268283651201	-2.16886306204694	74
GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_UP	6.99648975773338e-05	0.116888022219199	0.538434096309916	-0.374437656470324	-2.15644396206777	73
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.000913395447091229	0.199040781774836	0.477270815362862	-0.335133953481438	-1.92250267992269	71
GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP	0.000885257895333244	0.199040781774836	0.477270815362862	-0.36346116000127	-1.96673300902297	56
GSE16385_ROSIGLITAZONE_VS_UNTREATED_IFNG_TNF_STIM_MACROPHAGE_UP	0.000476175134821584	0.199040781774836	0.49849310876659	0.3609982955364	2.03037221945461	58
GSE17721_PAM3CSK4_VS_GADIQUIMOD_12H_BMDC_DN	0.000642800091368606	0.199040781774836	0.477270815362862	0.352405209799766	1.98204190107145	58
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_0.8H_DN	0.000694140296275944	0.199040781774836	0.477270815362862	0.366021639764174	2.02690807199027	54
GSE17974_0H_VS_2H_IN_VITRO_ACT_CD4_TCELL_UP	0.000242721473885486	0.199040781774836	0.518848077743792	-0.357033089921493	-2.02892173874789	68
GSE21033_1H_VS_24H_POLYIC_STIM_DC_DN	0.000748706510503115	0.199040781774836	0.477270815362862	-0.403911403832688	-2.04178827031939	42
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.000469568971033425	0.199040781774836	0.49849310876659	-0.393708369528669	-2.05736821792848	49
GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP	0.000726269829678634	0.199040781774836	0.477270815362862	-0.332569064561864	-1.90728685272278	70
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP	0.000490530428582017	0.199040781774836	0.477270815362862	-0.346636720849693	-1.9619559087707	67
GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_UP	0.000868235681241904	0.199040781774836	0.477270815362862	-0.318975690467832	-1.85172007453566	75
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_UP	0.00085897936782799	0.199040781774836	0.477270815362862	-0.33295058567753	-1.86881186515935	65
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.000833256292526476	0.199040781774836	0.477270815362862	0.344773779894672	1.9391202489041	58
GSE27786_NKCELL_VS_NKTCELL_DN	0.000579999670952245	0.199040781774836	0.477270815362862	-0.359806366953592	-1.97131272017101	58
GSE3039_NKT_CELL_VS_ALPHABETA_CD8_TCELL_UP	0.000457897084564143	0.199040781774836	0.49849310876659	-0.365115092643491	-2.00039824905979	58
GSE40274_FOXP3_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.000350063455751568	0.199040781774836	0.49849310876659	0.373605166736464	2.07521234271028	55
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	0.000310866162354916	0.199040781774836	0.49849310876659	0.549728107571942	2.25285629560722	20
GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_UP	0.000876874771324406	0.199040781774836	0.477270815362862	-0.318800858398034	-1.85070513809069	75
GSE42724_NAIVE_VS_B1_BCELL_UP	0.000231970843366136	0.199040781774836	0.518848077743792	-0.363897889717417	-2.0544525235813	66
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_UP	0.00037402933822985	0.199040781774836	0.49849310876659	-0.34540056076937	-1.9808756095411	70
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_DN	0.000995051165333784	0.207799851693872	0.45505986738723	-0.329534845282084	-1.84963972234325	65
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP	0.00110794768789284	0.222121352468757	0.45505986738723	-0.309224586405879	-1.83700425934369	80
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	0.00144092944036793	0.225685573597627	0.45505986738723	-0.327740674009326	-1.85500471600615	67
