pathway	pval	padj	log2err	ES	NES	size
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.113502935420744	0.56068321238122	0.184706471207739	-0.399975872098276	-1.38686271637104	13
PID_AVB3_INTEGRIN_PATHWAY	0.0965909090909091	0.56068321238122	0.197822021315103	-0.32649065253398	-1.4026626027265	24
PID_BETA_CATENIN_NUC_PATHWAY	0.0625	0.56068321238122	0.248911114434702	-0.328894794821417	-1.46797002067285	27
PID_BMP_PATHWAY	0.172268907563025	0.56068321238122	0.153158808683073	0.386499594978385	1.31153668842263	11
PID_CD8_TCR_PATHWAY	0.152804642166344	0.56068321238122	0.156312403073186	-0.280942261474755	-1.28883206326348	29
PID_CMYB_PATHWAY	0.0579439252336449	0.56068321238122	0.257206466468838	-0.300434908141479	-1.4449061097112	34
PID_CXCR4_PATHWAY	0.04764289103367	0.56068321238122	0.321775918075361	-0.26752599501247	-1.47749014777656	57
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.0480311762961257	0.56068321238122	0.321775918075361	-0.393530227728089	-1.6432515179993	22
PID_ERBB1_DOWNSTREAM_PATHWAY	0.0227414749792807	0.56068321238122	0.352487857583619	-0.279316307853426	-1.5841364082261	63
PID_ERBB1_INTERNALIZATION_PATHWAY	0.0855513307984791	0.56068321238122	0.211400189384923	-0.340938167365067	-1.44262078877113	23
PID_ERBB2_ERBB3_PATHWAY	0.0703422053231939	0.56068321238122	0.234392647294686	-0.350394093096841	-1.4826319002966	23
PID_ER_NONGENOMIC_PATHWAY	0.0545427807551029	0.56068321238122	0.321775918075361	-0.402326794501366	-1.56589928043204	18
PID_FCER1_PATHWAY	0.137142857142857	0.56068321238122	0.16440575583821	-0.267250522614133	-1.30032145338535	36
PID_FGF_PATHWAY	0.168377823408624	0.56068321238122	0.153158808683073	0.311496288627377	1.2924298028852	21
PID_FOXO_PATHWAY	0.103578154425612	0.56068321238122	0.190023305279108	-0.314549876342913	-1.37236627062328	25
PID_FRA_PATHWAY	0.143712574850299	0.56068321238122	0.16440575583821	0.392176044859252	1.38234539300107	12
PID_GMCSF_PATHWAY	0.054820415879017	0.56068321238122	0.266350657088526	-0.365446631784554	-1.52598374944309	22
PID_HDAC_CLASSI_PATHWAY	0.12	0.56068321238122	0.186432558434075	0.280364027842537	1.35910666138776	35
PID_HIF1_TFPATHWAY	0.147679324894515	0.56068321238122	0.166933848713193	0.301936161344517	1.30729160884883	24
PID_IL27_PATHWAY	0.163672654690619	0.56068321238122	0.153158808683073	0.381671175420264	1.34531774160978	12
PID_IL2_PI3K_PATHWAY	0.135496183206107	0.56068321238122	0.165656695205483	-0.334574049433701	-1.32081387078587	19
PID_IL2_STAT5_PATHWAY	0.0327869279842737	0.56068321238122	0.321775918075361	-0.448506694757924	-1.59625865832124	14
PID_IL6_7_PATHWAY	0.0215972653086014	0.56068321238122	0.352487857583619	-0.356333673540931	-1.67301343419832	32
PID_IL8_CXCR1_PATHWAY	0.0628571428571429	0.56068321238122	0.248911114434702	-0.394100180518223	-1.50894687689678	17
PID_IL8_CXCR2_PATHWAY	0.171428571428571	0.56068321238122	0.14551614609036	-0.340239658374064	-1.30272350858827	17
PID_ILK_PATHWAY	0.123106060606061	0.56068321238122	0.173747838999571	-0.311180829093745	-1.33688884587529	24
PID_INTEGRIN_A4B1_PATHWAY	0.120300751879699	0.56068321238122	0.175204047558551	-0.351316293783899	-1.3673609094867	18
PID_INTEGRIN_A9B1_PATHWAY	0.14638783269962	0.56068321238122	0.158514105424824	-0.406998383068889	-1.35661574398977	11
PID_LIS1_PATHWAY	0.0305839807200553	0.56068321238122	0.352487857583619	-0.524270246081512	-1.74750883425301	11
PID_LKB1_PATHWAY	0.164092664092664	0.56068321238122	0.150169802128406	-0.323794500838449	-1.29143890342095	20
PID_MET_PATHWAY	0.121268656716418	0.56068321238122	0.173747838999571	-0.240503328206907	-1.30388207098687	53
PID_MTOR_4PATHWAY	0.150190114068441	0.56068321238122	0.156312403073186	-0.258893703908914	-1.27257953570101	37
PID_NEPHRIN_NEPH1_PATHWAY	0.127882599580713	0.56068321238122	0.179782316298324	0.355958106211026	1.37795201966431	17
PID_NFKAPPAB_ATYPICAL_PATHWAY	0.149159663865546	0.56068321238122	0.165656695205483	0.399305832951631	1.35499301065635	11
PID_NOTCH_PATHWAY	0.112621359223301	0.56068321238122	0.184706471207739	-0.331070652177076	-1.33883620346079	21
PID_P73PATHWAY	0.0737864077669903	0.56068321238122	0.231126709673834	-0.355485204093053	-1.43756765483359	21
PID_PDGFRB_PATHWAY	0.154981549815498	0.56068321238122	0.151148761385484	-0.205220369904765	-1.25134159765595	81
PID_PI3K_PLC_TRK_PATHWAY	0.165413533834586	0.56068321238122	0.147331213699377	-0.331880273772816	-1.29171382317335	18
PID_PLK1_PATHWAY	0.177189409368635	0.56068321238122	0.148261500475107	0.354519608630118	1.27901764017985	13
PID_RAC1_PATHWAY	0.0185928956720962	0.56068321238122	0.352487857583619	-0.366111904311074	-1.70251669948848	31
PID_RHOA_PATHWAY	0.161596958174905	0.56068321238122	0.150169802128406	-0.3003154165125	-1.27073265629862	23
PID_TCR_JNK_PATHWAY	0.102661596958175	0.56068321238122	0.191892240384838	-0.428644869854464	-1.42876827824298	11
PID_TCR_PATHWAY	0.0486585340595816	0.56068321238122	0.321775918075361	-0.303306986730173	-1.49027425971757	38
PID_TELOMERASE_PATHWAY	0.0467289719626168	0.56068321238122	0.287857117255149	-0.31317581355156	-1.50618198535482	34
PID_TGFBR_PATHWAY	0.175572519083969	0.56068321238122	0.143758989039275	-0.318915767237559	-1.25899892622472	19
PID_THROMBIN_PAR1_PATHWAY	0.149621212121212	0.56068321238122	0.156312403073186	-0.303035429739476	-1.30189474429894	24
PID_TRAIL_PATHWAY	0.0304239725515679	0.56068321238122	0.352487857583619	-0.456926029174874	-1.62622350749169	14
PID_UPA_UPAR_PATHWAY	0.180746561886051	0.56068321238122	0.143758989039275	-0.355013777288108	-1.26351250146965	14
PID_VEGFR1_PATHWAY	0.153241650294695	0.56068321238122	0.157402899305283	-0.370683673225861	-1.31928247627266	14
PID_AJDISS_2PATHWAY	0.23574144486692	0.604856650477832	0.121543282035469	-0.282018299226414	-1.1933115744189	23
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.257575757575758	0.604856650477832	0.115240003147781	-0.272856658935581	-1.17224131356718	24
PID_ATF2_PATHWAY	0.226843100189036	0.604856650477832	0.12384217120105	-0.291416198038888	-1.21685724769246	22
PID_CASPASE_PATHWAY	0.254736842105263	0.604856650477832	0.123257226381337	0.271005542117752	1.19099454241159	26
PID_ECADHERIN_STABILIZATION_PATHWAY	0.204887218045113	0.604856650477832	0.130777137971974	-0.319089062041821	-1.24192904741602	18
PID_ENDOTHELIN_PATHWAY	0.234848484848485	0.604856650477832	0.121543282035469	-0.266154766116013	-1.18793980223873	27
PID_EPHA_FWDPATHWAY	0.255578093306288	0.604856650477832	0.120433371642259	0.320117923346519	1.1777427725094	14
PID_EPHB_FWD_PATHWAY	0.229126213592233	0.604856650477832	0.125033367555272	-0.298407060788085	-1.20674597317592	21
PID_HNF3A_PATHWAY	0.234962406015038	0.604856650477832	0.120985142145252	-0.306085381332714	-1.19131731947829	18
PID_INSULIN_GLUCOSE_PATHWAY	0.221135029354207	0.604856650477832	0.128142916898415	-0.350607418328468	-1.21568422118068	13
PID_NCADHERIN_PATHWAY	0.225941422594142	0.604856650477832	0.131457611642763	0.32655411142204	1.20864050595882	15
PID_NFKAPPAB_CANONICAL_PATHWAY	0.258655804480652	0.604856650477832	0.119887845115423	0.328508896601949	1.18517752891995	13
PID_P75_NTR_PATHWAY	0.252066115702479	0.604856650477832	0.122679189568808	0.285216760394448	1.16995169621373	20
PID_RXR_VDR_PATHWAY	0.237322515212982	0.604856650477832	0.12563992130984	0.325897107238902	1.1990049123768	14
PID_SYNDECAN_2_PATHWAY	0.257861635220126	0.604856650477832	0.122107920287081	0.304903262790821	1.18031324314264	17
PID_TAP63_PATHWAY	0.209125475285171	0.604856650477832	0.130105630751129	-0.370567183823244	-1.23518248890801	11
