pathway	pval	padj	log2err	ES	NES	size
GOBP_CAMERA_TYPE_EYE_MORPHOGENESIS	0.000201900427405324	0.143496516263899	0.518848077743792	0.510277001623484	2.20927320789185	25
GOBP_CELLULAR_HOMEOSTASIS	0.000374804333525109	0.143496516263899	0.49849310876659	-0.232275608641332	-1.71704026324864	237
GOBP_EYE_MORPHOGENESIS	0.00017651485645076	0.143496516263899	0.518848077743792	0.497564454970793	2.25800075146026	30
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	0.000290586222494549	0.143496516263899	0.49849310876659	-0.559233032148737	-2.19790610808294	19
GOBP_REGULATION_OF_TRANSPORT	0.000359343012013059	0.143496516263899	0.49849310876659	-0.190741822735431	-1.54756160004308	462
GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	0.000328825113069518	0.143496516263899	0.49849310876659	-0.255706654123355	-1.81145744256308	182
GOBP_RETINA_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	0.000113433135661186	0.143496516263899	0.538434096309916	0.652982504925311	2.34227393391513	14
GOBP_CHEMICAL_HOMEOSTASIS	0.000498915361667708	0.14410599399456	0.477270815362862	-0.216045988649361	-1.64855158191976	288
GOBP_POSITIVE_REGULATION_OF_AXON_EXTENSION	0.000625157543611484	0.14410599399456	0.477270815362862	-0.574880825973197	-2.09108606258569	16
GOBP_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS	0.000662013974583081	0.14410599399456	0.477270815362862	-0.35997296509852	-1.99153801303463	57
GOBP_REGULATION_OF_PROTEIN_BINDING	0.00065465826375438	0.14410599399456	0.477270815362862	-0.35264011457089	-1.96123185282138	58
GOBP_RESPONSE_TO_METAL_ION	0.000557609977772103	0.14410599399456	0.477270815362862	-0.323067123925166	-1.92982621047211	80
GOBP_SENSORY_ORGAN_MORPHOGENESIS	0.000699021612660179	0.14410599399456	0.477270815362862	0.405698460888916	2.05801061079892	42
GOBP_CELLULAR_ION_HOMEOSTASIS	0.000797368421823236	0.145772189428441	0.477270815362862	-0.256435703712279	-1.77364969262882	164
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	0.00087028172793099	0.145772189428441	0.477270815362862	-0.304260243661712	-1.82373354890553	85
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	0.000861601640595921	0.145772189428441	0.477270815362862	-0.188943609830808	-1.54128361605091	465
GOBP_ESTABLISHMENT_OF_CELL_POLARITY	0.000944024176452046	0.148066162243485	0.477270815362862	-0.354009932617587	-1.95451092211141	56
GOBP_SEGMENTATION	0.000994474224023405	0.148066162243485	0.45505986738723	0.57404144205951	2.11365144818182	15
GOBP_HOMEOSTATIC_PROCESS	0.00114804097063278	0.161934200068203	0.45505986738723	-0.181730633917929	-1.50275676915675	501
GOBP_RESPONSE_TO_ISCHEMIA	0.00134270568553658	0.173214494078809	0.45505986738723	-0.642081196501361	-2.02742134788102	11
GOBP_WNT_SIGNALING_PATHWAY_CALCIUM_MODULATING_PATHWAY	0.00135727775211007	0.173214494078809	0.45505986738723	-0.59173898870565	-2.03349778258048	13
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	0.00229041566277074	0.187016972571834	0.431707695803346	-0.447269498729274	-1.93989700451599	25
GOBP_CALCIUM_ION_TRANSPORT	0.00178715359911382	0.187016972571834	0.45505986738723	-0.286890145068011	-1.76781126606384	95
GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS	0.00163849903006947	0.187016972571834	0.45505986738723	0.55902377783857	2.05835560122169	15
