pathway	pval	padj	log2err	ES	NES	size
GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_UP	6.59144493099387e-08	0.00017163119095047	0.704975715167238	-0.433728608528045	-2.6304756682322	82
OSMAN_BLOOD_CHAD63_KH_AGE_18_50YO_HIGH_DOSE_SUBJECTS_24HR_UP	6.84881049283598e-08	0.00017163119095047	0.704975715167238	-0.207482412958328	-1.83098255507743	815
GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	3.29528763301436e-07	0.000550532720555598	0.674962860011025	-0.38673299966572	-2.46451206142659	102
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	5.05406290282281e-07	0.000633274081723698	0.659444398037935	-0.369799292612378	-2.38642735618952	106
GSE19401_UNSTIM_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN	9.4983744102317e-07	0.000952117050881625	0.659444398037935	-0.383916396997876	-2.39126837969981	95
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP	1.96382965779098e-06	0.0016404523741414	0.627256739718528	-0.393328496889139	-2.38545721989728	82
GSE6259_33D1_POS_DC_VS_CD4_TCELL_DN	2.37629262606088e-06	0.00170142552025959	0.627256739718528	-0.38064876312241	-2.35919338785071	91
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_UP	4.49775028089034e-06	0.0028178405509778	0.610526878385931	-0.213624009090326	-1.77508650793016	502
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN	1.33952102867051e-05	0.00745964377299623	0.593325476396405	-0.355711574693692	-2.24604152681057	98
GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN	1.87168912615736e-05	0.00852809627300064	0.575610261071129	-0.346749260411525	-2.20970989109699	102
GSE36826_NORMAL_VS_STAPH_AUREUS_INF_SKIN_DN	1.79587282919962e-05	0.00852809627300064	0.575610261071129	-0.35895645085093	-2.2245126073702	88
GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_DN	2.04366000333431e-05	0.0085356866139263	0.575610261071129	-0.325980601680493	-2.12826379918041	111
GSE14308_INDUCED_VS_NATURAL_TREG_DN	2.70878928877821e-05	0.0104434245502742	0.575610261071129	-0.36495383585385	-2.22266754580048	83
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_DN	3.15241066020462e-05	0.0112856301635325	0.557332238758646	-0.346917709224944	-2.14279528647177	89
