pathway	pval	padj	log2err	ES	NES	size
PID_WNT_NONCANONICAL_PATHWAY	9.48793596222607e-06	0.00136626277856055	0.593325476396405	-0.710879821082641	-2.54717218238318	14
PID_CXCR4_PATHWAY	0.000370691432263958	0.026689783123005	0.49849310876659	-0.365231987491803	-2.04256795679471	55
PID_AMB2_NEUTROPHILS_PATHWAY	0.00111782876029665	0.0503759633903092	0.45505986738723	-0.606378036847275	-2.11771384092686	13
PID_TCR_PATHWAY	0.00139933231639748	0.0503759633903092	0.45505986738723	-0.416193527172356	-1.95904235958547	33
PID_IFNG_PATHWAY	0.0019864574043707	0.0523334789784294	0.431707695803346	-0.52807584924687	-2.01294173203781	17
PID_VEGFR1_2_PATHWAY	0.00218056162410122	0.0523334789784294	0.431707695803346	-0.397295587924606	-1.89663653846157	35
PID_EPHRINB_REV_PATHWAY	0.00448799392125605	0.0723247035309755	0.407017918923954	-0.517993111536948	-1.9092697271356	15
PID_FAK_PATHWAY	0.00510697325305293	0.0723247035309755	0.407017918923954	-0.383974952257074	-1.80738802355257	33
PID_MYC_REPRESS_PATHWAY	0.00492605066245714	0.0723247035309755	0.407017918923954	0.521056687951924	1.95049735690533	17
PID_P38_ALPHA_BETA_PATHWAY	0.00552480374194952	0.0723247035309755	0.407017918923954	-0.516759270145984	-1.93836620983006	16
PID_PS1_PATHWAY	0.00416260140378466	0.0723247035309755	0.407017918923954	-0.501558093081108	-1.93755836382483	18
PID_ATR_PATHWAY	0.00669706345375438	0.075756240495918	0.407017918923954	0.567363620793081	1.88605514535746	12
PID_MET_PATHWAY	0.00683910504477038	0.075756240495918	0.407017918923954	-0.363245037473243	-1.80309382045699	38
PID_CMYB_PATHWAY	0.0146830520989793	0.142164924562617	0.380730400722792	-0.410553388200357	-1.78588190762414	25
PID_TGFBR_PATHWAY	0.014808846308606	0.142164924562617	0.380730400722792	-0.369456542562007	-1.69299519385963	30
PID_CD8_TCR_DOWNSTREAM_PATHWAY	0.020994860535671	0.151442377471346	0.352487857583619	-0.381780569308445	-1.68171536114936	26
PID_CDC42_PATHWAY	0.0199371066957185	0.151442377471346	0.352487857583619	-0.336380079428846	-1.60583396555721	35
PID_HEDGEHOG_GLI_PATHWAY	0.021033663537687	0.151442377471346	0.352487857583619	-0.419871211019077	-1.65245289421164	19
PID_PDGFRB_PATHWAY	0.0195510896533727	0.151442377471346	0.352487857583619	-0.264692499323061	-1.55310627700801	68
PID_RHOA_PATHWAY	0.0170222673391132	0.151442377471346	0.352487857583619	-0.363681678056318	-1.60754482438094	27
PID_NFAT_3PATHWAY	0.0272442741886413	0.186817880150683	0.352487857583619	-0.348970859741499	-1.59912173768114	30
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.0327395391728289	0.211988128229634	0.321775918075361	-0.3987041691134	-1.56914749307675	19
PID_ERBB2_ERBB3_PATHWAY	0.0338592149255665	0.211988128229634	0.321775918075361	-0.389115961273021	-1.59831517692389	21
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.0583657587548638	0.311284046692607	0.261663521711573	0.443258711945893	1.51566739048893	13
PID_AP1_PATHWAY	0.0555555555555556	0.311284046692607	0.276500599254472	-0.42990784361875	-1.61258614127247	16
PID_ENDOTHELIN_PATHWAY	0.0561330561330561	0.311284046692607	0.276500599254472	-0.349233262196066	-1.53834686433434	26
PID_EPHA_FWDPATHWAY	0.0573770491803279	0.311284046692607	0.271288554688953	-0.479366661051087	-1.67413948279671	13
PID_CD8_TCR_PATHWAY	0.0605427974947808	0.311362958544587	0.266350657088526	-0.338254157700195	-1.50919312530063	28
PID_RAC1_PATHWAY	0.0631578947368421	0.313611615245009	0.261663521711573	-0.324574461733981	-1.48732784634064	30
PID_MTOR_4PATHWAY	0.0717299578059072	0.344303797468354	0.245041785430996	-0.310182120741071	-1.4413606161339	32
PID_CERAMIDE_PATHWAY	0.0819672131147541	0.360631104432757	0.224966093540314	-0.357815239390653	-1.43336861823433	20
PID_IL8_CXCR1_PATHWAY	0.0826446280991736	0.360631104432757	0.224966093540314	-0.471161470649392	-1.52633112171199	11
PID_PTP1B_PATHWAY	0.0782241014799154	0.360631104432757	0.234392647294686	-0.374526233610466	-1.47399236348138	19
PID_AVB3_INTEGRIN_PATHWAY	0.0909090909090909	0.363636363636364	0.216542836735348	-0.363702575172932	-1.4313945733932	19
PID_NETRIN_PATHWAY	0.0907258064516129	0.363636363636364	0.211400189384923	-0.446822758701394	-1.52749094935969	12
PID_NOTCH_PATHWAY	0.0866807610993657	0.363636363636364	0.222056046145248	-0.339299983318968	-1.41918958983677	23
PID_RETINOIC_ACID_PATHWAY	0.103305785123967	0.402054947509493	0.199915231309662	-0.455749846051983	-1.47640504811615	11
PID_ERBB1_DOWNSTREAM_PATHWAY	0.111363636363636	0.411188811188811	0.20207170902116	-0.238127313706891	-1.30102893910359	52
PID_ER_NONGENOMIC_PATHWAY	0.109278350515464	0.411188811188811	0.193813302725311	-0.400365880755011	-1.43456151657447	14
PID_ECADHERIN_STABILIZATION_PATHWAY	0.130346232179226	0.422268041237113	0.175204047558551	-0.375524331603718	-1.38414434895949	15
PID_IL2_1PATHWAY	0.124472573839662	0.422268041237113	0.183023938384487	-0.280388301561263	-1.30291408843788	32
PID_IL8_CXCR2_PATHWAY	0.131958762886598	0.422268041237113	0.175204047558551	-0.3900098907468	-1.39745469642338	14
PID_NCADHERIN_PATHWAY	0.125773195876289	0.422268041237113	0.179782316298324	-0.390972443626098	-1.40090364495942	14
PID_P53_REGULATION_PATHWAY	0.131524008350731	0.422268041237113	0.176694268938498	-0.291878031716285	-1.32673375418619	29
PID_SHP2_PATHWAY	0.12396694214876	0.422268041237113	0.181383128498408	-0.332258112024955	-1.36476843912592	21
PID_CASPASE_PATHWAY	0.145299145299145	0.454849498327759	0.169570644405628	-0.308226870897871	-1.31344621097766	24
