pathway	pval	padj	log2err	ES	NES	size
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	8.64666508447157e-08	0.000221441092813317	0.704975715167238	-0.234340459555159	-1.97544647038257	414
GOBP_APOPTOTIC_PROCESS	5.45929892602157e-06	0.00199732350707732	0.610526878385931	-0.201236686186167	-1.74814751962673	539
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	2.07087339028198e-06	0.00199732350707732	0.627256739718528	-0.430683685921105	-2.42330339539421	60
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	4.02228815232747e-06	0.00199732350707732	0.610526878385931	-0.402098637822444	-2.30380147384915	64
GOBP_HEAD_DEVELOPMENT	5.36744101406712e-06	0.00199732350707732	0.610526878385931	-0.28536982012242	-2.09548602319971	181
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	3.91480307559065e-06	0.00199732350707732	0.610526878385931	-0.396595345699778	-2.37120802017733	73
GOBP_VIRAL_GENE_EXPRESSION	4.98778735620117e-06	0.00199732350707732	0.610526878385931	-0.341939556834364	-2.21926575572541	105
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	1.19671161136692e-05	0.00383097304588834	0.593325476396405	-0.376310306461675	-2.27016463491615	77
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	1.39549026068826e-05	0.00397094506402515	0.593325476396405	-0.214882431368161	-1.79676946634918	387
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	1.89703061326436e-05	0.00485829540057001	0.575610261071129	-0.277249238340391	-2.00412435015689	171
GOBP_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	2.23502695162064e-05	0.0052035491119095	0.575610261071129	-0.19791877272354	-1.69974720456325	486
GOBP_PROTEIN_TARGETING_TO_MEMBRANE	2.87337961889433e-05	0.00613227100332365	0.575610261071129	-0.351726653804061	-2.15881837014087	84
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	3.91431025935336e-05	0.00771119121092611	0.557332238758646	-0.224913254204882	-1.79074276990159	298
