pathway	pval	padj	log2err	ES	NES	size
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	1.59783428571074e-09	7.97798658855374e-06	0.788186810800237	-0.430298106985512	-2.7163554676848	94
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	1.75411028691942e-06	0.00437913633129433	0.643551836150722	-0.347185647901033	-2.26675547486638	104
HOEK_NK_CELL_2011_2012_TIV_3D_VS_0DY_ADULT_3D_DN	2.63662160119541e-05	0.0337871425226193	0.575610261071129	0.560857810872178	2.41290741585669	26
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_DN	2.70676086702338e-05	0.0337871425226193	0.575610261071129	-0.210629517583239	-1.75132305499935	397
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	4.50608763611036e-05	0.0448476688575325	0.557332238758646	0.441561996082697	2.25490986749692	48
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP	8.79088360148147e-05	0.0448476688575325	0.538434096309916	-0.321925619340163	-2.01153399835606	90
GSE22886_NAIVE_TCELL_VS_DC_UP	7.72845635044645e-05	0.0448476688575325	0.538434096309916	-0.29849815690515	-1.97817799229371	115
GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN	9.77380077032051e-05	0.0448476688575325	0.538434096309916	-0.296080122762456	-1.96079420439681	116
GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_DN	9.88031959609169e-05	0.0448476688575325	0.538434096309916	-0.340297087256744	-2.06578762777101	76
GSE3982_MEMORY_CD4_TCELL_VS_BCELL_UP	9.15041484419528e-05	0.0448476688575325	0.538434096309916	-0.363488157780539	-2.16643417694394	71
GSE6269_FLU_VS_E_COLI_INF_PBMC_UP	7.68472874752497e-05	0.0448476688575325	0.538434096309916	-0.344051219094538	-2.08857724129975	76
GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_UP	0.000139520253129104	0.0497589017052584	0.518848077743792	-0.334882686746156	-2.0544364375416	79
GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_WT_CD4_TCELL_DN	0.000132924865377909	0.0497589017052584	0.518848077743792	-0.307068846074472	-1.96828929377631	99
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_NEGATIVE	0.000121106903144687	0.0497589017052584	0.538434096309916	-0.248760690945791	-1.82180889963408	184
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	0.000232944969897776	0.0649368545055189	0.518848077743792	-0.30011701532048	-1.92372855692478	99
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_DN	0.000234100416803393	0.0649368545055189	0.518848077743792	-0.394154071672068	-2.03371096363199	45
GSE30962_ACUTE_VS_CHRONIC_LCMV_SECONDARY_INF_CD8_TCELL_DN	0.000212013700468253	0.0649368545055189	0.518848077743792	0.37687792345019	2.02837668624171	59
GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN	0.000199508960611304	0.0649368545055189	0.518848077743792	-0.334531439672094	-2.0364946581961	81
ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP	0.00032049066743411	0.0762004715475481	0.49849310876659	-0.201556888566811	-1.63747917369828	345
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN	0.000301340114707683	0.0762004715475481	0.49849310876659	-0.300569928021434	-1.89184943405317	93
NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN	0.000305979041054224	0.0762004715475481	0.49849310876659	-0.471992715345293	-2.15511051366017	29
GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN	0.000342823482735889	0.077805347695468	0.49849310876659	-0.340008730256945	-1.97837067812928	66
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	0.000572817877388193	0.0780185149730278	0.477270815362862	-0.300587680234661	-1.87057227282905	87
GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_UP	0.000434230660472295	0.0780185149730278	0.49849310876659	0.429535848325513	2.10014980181426	40
GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP	0.000373898932601996	0.0780185149730278	0.49849310876659	-0.290070666276123	-1.85071304392857	97
GSE16385_IFNG_TNF_VS_UNSTIM_MACROPHAGE_ROSIGLITAZONE_TREATED_DN	0.000529009277949043	0.0780185149730278	0.477270815362862	-0.31517304623632	-1.92525908728282	83
GSE17721_CTRL_VS_PAM3CSK4_12H_BMDC_DN	0.000529823396520015	0.0780185149730278	0.477270815362862	-0.372744244501714	-1.93876000228883	47
GSE17974_0H_VS_6H_IN_VITRO_ACT_CD4_TCELL_UP	0.000542017416910532	0.0780185149730278	0.477270815362862	-0.330781200162773	-1.92709019755702	67
GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	0.000575469812005731	0.0780185149730278	0.477270815362862	-0.275974083056608	-1.82831655577137	113
GSE22886_CD8_TCELL_VS_BCELL_NAIVE_UP	0.000407557886621375	0.0780185149730278	0.49849310876659	-0.318934750237313	-1.9729782291335	85
GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_DN	0.000479889660681682	0.0780185149730278	0.49849310876659	-0.331144445404278	-1.96347973508505	70
GSE27786_LIN_NEG_VS_NKTCELL_DN	0.000578146415782502	0.0780185149730278	0.477270815362862	-0.283159847865853	-1.79411379476157	95
