pathway	pval	padj	log2err	ES	NES	size
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.0140885965484134	0.305252925215623	0.380730400722792	-0.479604380856594	-1.74392485537235	15
PID_ERBB1_DOWNSTREAM_PATHWAY	0.0123821534816088	0.305252925215623	0.380730400722792	-0.321360454344893	-1.67923058593064	45
PID_ERBB4_PATHWAY	0.0131134823023149	0.305252925215623	0.380730400722792	-0.459624187227767	-1.77854457925544	18
PID_IL2_PI3K_PATHWAY	0.0118284174957132	0.305252925215623	0.380730400722792	-0.488659157427603	-1.77684959616355	15
PID_PTP1B_PATHWAY	0.00757875377342258	0.305252925215623	0.407017918923954	-0.509375592071797	-1.80619103447184	14
PID_VEGFR1_2_PATHWAY	0.00785476407564319	0.305252925215623	0.380730400722792	-0.433133992864204	-1.7920954759593	22
PID_PDGFRB_PATHWAY	0.017060592685134	0.316839578438203	0.352487857583619	-0.290615359395583	-1.56264957664785	53
PID_ERBB2_ERBB3_PATHWAY	0.0227001311846174	0.325814536340852	0.352487857583619	-0.437768508886592	-1.69397266306865	18
PID_GMCSF_PATHWAY	0.0371546532609924	0.325814536340852	0.321775918075361	-0.485954962860761	-1.61727927283732	11
PID_IL2_STAT5_PATHWAY	0.0219252397128715	0.325814536340852	0.352487857583619	-0.523592920870706	-1.74254003569293	11
PID_IL3_PATHWAY	0.0483558994197292	0.325814536340852	0.287857117255149	-0.508094864719899	-1.62872966007654	10
PID_IL4_2PATHWAY	0.0277884824956562	0.325814536340852	0.352487857583619	-0.440173087598848	-1.63937924632672	16
PID_INSULIN_PATHWAY	0.0441136115225176	0.325814536340852	0.321775918075361	-0.386574214181741	-1.53748667093818	20
PID_KIT_PATHWAY	0.0370594530902947	0.325814536340852	0.321775918075361	-0.396657906571062	-1.54863504420081	19
PID_NFAT_TFPATHWAY	0.0515463917525773	0.325814536340852	0.287857117255149	0.509551832051062	1.57304656506098	10
PID_PI3K_PLC_TRK_PATHWAY	0.0517241379310345	0.325814536340852	0.276500599254472	-0.471265454879122	-1.56839195075499	11
PID_RET_PATHWAY	0.0526315789473684	0.325814536340852	0.282013350011725	-0.425438389082003	-1.54696789846781	15
PID_TCPTP_PATHWAY	0.0294137702504706	0.325814536340852	0.352487857583619	-0.406290989638982	-1.61590441932204	20
PID_TELOMERASE_PATHWAY	0.0522088353413655	0.325814536340852	0.282013350011725	-0.356981185593074	-1.53882304487614	25
PID_TGFBR_PATHWAY	0.0407566099487624	0.325814536340852	0.321775918075361	-0.362673162454599	-1.56335919837359	25
