pathway	pval	padj	log2err	ES	NES	size
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	0.000117141322704279	0.125575497938987	0.538434096309916	-0.55087668332405	-2.26864823652798	22
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	5.93329657096034e-05	0.125575497938987	0.557332238758646	-0.675728114811699	-2.33514326423796	13
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	0.000346380511716966	0.247546605707058	0.49849310876659	-0.485469973079943	-2.10788181102356	27
GOBP_OXIDATIVE_PHOSPHORYLATION	0.000482632493910844	0.258691016736213	0.49849310876659	-0.471093437705352	-2.13688913106393	30
GOBP_ENDOCYTIC_RECYCLING	0.00134521541578992	0.364675818553593	0.45505986738723	-0.588412818342601	-2.03340396710723	13
GOBP_MAMMARY_GLAND_DEVELOPMENT	0.00111867068952059	0.364675818553593	0.45505986738723	-0.468986504824626	-2.03391506967941	26
GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	0.00110760368848408	0.364675818553593	0.45505986738723	-0.235790675060981	-1.6900896883418	195
GOBP_RNA_METHYLATION	0.00136073066624475	0.364675818553593	0.45505986738723	0.633004117104896	2.0805188929191	11
GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT	0.00204169159534307	0.398686686072446	0.431707695803346	-0.494960714532966	-2.02827247985958	21
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	0.00195001393549228	0.398686686072446	0.45505986738723	-0.598879712976028	-1.98155637461318	12
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY	0.00204550072145378	0.398686686072446	0.431707695803346	-0.434927384390121	-1.91576030189228	28
GOBP_TOR_SIGNALING	0.00239822344085245	0.428482588098972	0.431707695803346	-0.434173918272956	-1.96942146226457	30
GOBP_PROTEIN_KINASE_B_SIGNALING	0.00296263807555709	0.453706859571029	0.431707695803346	-0.3532131549023	-1.87141258920328	51
GOBP_TRANSLATIONAL_INITIATION	0.0029407735879146	0.453706859571029	0.431707695803346	-0.35298013331919	-1.84699346073644	49
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	0.0047577647127745	0.463665797463115	0.407017918923954	-0.239430279478167	-1.63271300033457	157
GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT	0.00463826442676891	0.463665797463115	0.407017918923954	-0.534396820538893	-1.92791525544645	15
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	0.00449457980245619	0.463665797463115	0.407017918923954	-0.567292600705959	-1.87704182466568	12
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	0.00368949501890125	0.463665797463115	0.431707695803346	-0.520294003517201	-1.95234028200673	17
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	0.00454140250545523	0.463665797463115	0.407017918923954	-0.62282385555398	-1.93237567327302	10
GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.00451898510736451	0.463665797463115	0.407017918923954	-0.430589010464251	-1.867391637525	26
GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY	0.00403458196659195	0.463665797463115	0.407017918923954	-0.471958478649815	-1.9340128736986	21
GOBP_RNA_MODIFICATION	0.00370470896138476	0.463665797463115	0.431707695803346	0.489174553042186	1.90686137333368	18
GOBP_PROTEIN_DEPHOSPHORYLATION	0.00554519322021623	0.505220552082526	0.407017918923954	-0.295649501758891	-1.73797256716024	75
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION	0.00565545394122231	0.505220552082526	0.407017918923954	-0.214628196857697	-1.54754662887638	207
