pathway	pval	padj	log2err	ES	NES	size
GSE19401_PAM2CSK4_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN	5.92751331098462e-05	0.294834512088375	0.557332238758646	-0.46163758343359	-2.21896219242728	39
GSE19888_ADENOSINE_A3R_ACT_VS_A3R_ACT_WITH_A3R_INH_PRETREATMENT_IN_MAST_CELL_UP	0.000124049834917664	0.308511939440229	0.518848077743792	0.700458130613538	2.29960788559543	11
GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP	0.00106235747668086	0.485577285602933	0.45505986738723	-0.425144585577976	-1.99017148202381	36
GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.00086956375625312	0.485577285602933	0.477270815362862	0.396112528043733	1.96140114589563	38
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.00109336291049027	0.485577285602933	0.45505986738723	-0.384967308943424	-2.00376047684202	49
GSE30083_SP1_VS_SP2_THYMOCYTE_UP	0.000499598179554029	0.485577285602933	0.477270815362862	0.44814228512422	2.03230819622565	31
GSE30083_SP2_VS_SP3_THYMOCYTE_DN	0.00117147716671395	0.485577285602933	0.45505986738723	0.437960087853367	1.95802419064855	29
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP	0.00106933050742479	0.485577285602933	0.45505986738723	-0.395103937431692	-1.94360384358478	42
GSE39820_CTRL_VS_TGFBETA1_IL6_IL23A_CD4_TCELL_UP	0.000514739026183941	0.485577285602933	0.477270815362862	-0.365833033112358	-2.01558360384835	62
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_UP	0.000417743387508313	0.485577285602933	0.49849310876659	-0.456188929463875	-2.10810613875585	34
GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_DN	0.000997823015645014	0.485577285602933	0.45505986738723	0.465142643332646	2.03441789094903	26
GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP	0.00102099875210629	0.485577285602933	0.45505986738723	0.40067703186411	1.99911384420742	40
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP	0.00143506519987038	0.54907802339656	0.45505986738723	-0.427168941288759	-1.96179259045998	32
GSE7568_IL4_VS_IL4_AND_TGFB_TREATED_MACROPHAGE_24H_UP	0.0015848947968109	0.563090479952673	0.45505986738723	-0.349918935626549	-1.84155132519376	52
GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_DN	0.00262946854006703	0.600007064641507	0.431707695803346	0.415298287208304	1.88336191649034	31
GSE27786_BCELL_VS_NEUTROPHIL_DN	0.00225325849143512	0.600007064641507	0.431707695803346	-0.417505286349057	-1.85391819926377	29
GSE32901_TH1_VS_TH17_NEG_CD4_TCELL_DN	0.00207981215472482	0.600007064641507	0.431707695803346	0.567035835041961	2.05338769569653	15
GSE3720_UNSTIM_VS_LPS_STIM_VD1_GAMMADELTA_TCELL_UP	0.00264924607952509	0.600007064641507	0.431707695803346	-0.336573186603955	-1.81413296841999	58
GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP	0.00265383100565202	0.600007064641507	0.431707695803346	-0.380636056283475	-1.85096803323084	41
GSE40274_CTRL_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.0019956092334809	0.600007064641507	0.431707695803346	0.491948359463026	1.99136318728477	20
GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_DN	0.00248692566964792	0.600007064641507	0.431707695803346	-0.415502513765228	-1.84502495488209	29
GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_DN	0.0019779121624414	0.600007064641507	0.431707695803346	-0.398053416054835	-1.91333096023641	39
GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_BALBC_DN	0.00295404476651644	0.612225777860531	0.431707695803346	0.335273471921147	1.83658135917365	51
GSE360_DC_VS_MAC_L_DONOVANI_DN	0.00285411759010901	0.612225777860531	0.431707695803346	-0.377593119328667	-1.83617075131939	41
GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	0.00316904171269646	0.615659356948666	0.431707695803346	0.418401156125656	1.83520522673956	28
GSE20366_TREG_VS_TCONV_UP	0.00345530707074115	0.615659356948666	0.431707695803346	-0.37218136275038	-1.80985430476979	41
GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP	0.00338235908913088	0.615659356948666	0.431707695803346	0.42788848784432	1.9138945214101	30
GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	0.00350689958973716	0.615659356948666	0.431707695803346	-0.374629388976672	-1.90053811600986	45
GSE8685_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_DN	0.00358948961630706	0.615659356948666	0.431707695803346	-0.371094313593459	-1.80456817066138	41
GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_UP	0.00511248511313128	0.674982678246	0.407017918923954	0.368693465525003	1.79363709593054	37
GSE17974_0H_VS_1H_IN_VITRO_ACT_CD4_TCELL_DN	0.00536036431922486	0.674982678246	0.407017918923954	0.481195884451482	1.91972796823364	19
GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN	0.00437940996655566	0.674982678246	0.407017918923954	-0.431104385410275	-1.83650002617684	25
GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_DN	0.00509567135964335	0.674982678246	0.407017918923954	-0.332211157963287	-1.78375238683684	57
GSE24634_NAIVE_CD4_TCELL_VS_DAY3_IL4_CONV_TREG_DN	0.00410152445994018	0.674982678246	0.407017918923954	0.398343392876978	1.88186099923969	34
GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	0.00530812318424539	0.674982678246	0.407017918923954	0.366154267192685	1.82172206180808	39
GSE27786_BCELL_VS_MONO_MAC_UP	0.00462940662633	0.674982678246	0.407017918923954	-0.35742175035676	-1.79833561903656	44
GSE29614_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_DN	0.00539227475817032	0.674982678246	0.407017918923954	0.379129991223497	1.72587990192597	32
GSE3337_4H_VS_16H_IFNG_IN_CD8POS_DC_DN	0.00454749361517263	0.674982678246	0.407017918923954	0.401472288757147	1.82066154005632	31
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_RAG2_KO_NK_CELL_DN	0.00465416281149754	0.674982678246	0.407017918923954	-0.340274947552639	-1.77479342382824	50
GSE3982_EOSINOPHIL_VS_NEUTROPHIL_UP	0.00556378966789023	0.674982678246	0.407017918923954	0.341877101927669	1.82999682594184	49
GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_UP	0.00555123871152172	0.674982678246	0.407017918923954	0.364938729623184	1.81567441521285	39
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_6H_CD4_TCELL_DN	0.00621314314903882	0.691636625091339	0.407017918923954	0.416592255824471	1.83446902892991	27
GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_DN	0.0058975945962073	0.691636625091339	0.407017918923954	0.358237160637765	1.78736690747824	40
GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	0.00672461873276852	0.691636625091339	0.407017918923954	-0.387356647832597	-1.77895284074437	32
GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP	0.00670748166950708	0.691636625091339	0.407017918923954	0.379579880789922	1.69701899666939	29
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP	0.00681346896451058	0.691636625091339	0.407017918923954	0.368674055306237	1.67828227031369	32
GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_DN	0.00641897127305779	0.691636625091339	0.407017918923954	-0.344413947136509	-1.7746044136114	48
GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP	0.00658309164736822	0.691636625091339	0.407017918923954	0.334293438717801	1.78940305840134	49
GSE7768_OVA_ALONE_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_DN	0.00680989469495942	0.691636625091339	0.407017918923954	-0.353343263739398	-1.71824785156979	41
GSE17186_BLOOD_VS_CORD_BLOOD_CD21HIGH_TRANSITIONAL_BCELL_DN	0.0073640545507026	0.719796865456223	0.407017918923954	-0.325944313685584	-1.70004823635714	50
GSE17721_LPS_VS_CPG_16H_BMDC_UP	0.00743027806284921	0.719796865456223	0.407017918923954	-0.386656624375549	-1.78438175799957	33
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.00752501749170157	0.719796865456223	0.407017918923954	-0.34100348575357	-1.74240191960514	47
GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_DN	0.00837207543790111	0.742522383712051	0.380730400722792	0.346953335353313	1.73106806939207	40
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_DN	0.00810899146043074	0.742522383712051	0.380730400722792	0.347859595244056	1.72247066279901	38
GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN	0.0085090019846375	0.742522383712051	0.380730400722792	-0.408863366083858	-1.76094067846559	26
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_UP	0.00838069642711613	0.742522383712051	0.380730400722792	-0.341615860317407	-1.71880969477489	44
GSE7348_UNSTIM_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_DN	0.00839761356247348	0.742522383712051	0.380730400722792	-0.340714338365113	-1.73475035554997	46
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP	0.00881913038149526	0.743497534195889	0.380730400722792	0.355077266124882	1.72739637665208	37
GSE36826_WT_VS_IL1R_KO_SKIN_UP	0.00872197244906846	0.743497534195889	0.380730400722792	-0.375437397820889	-1.72421314856015	32
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP	0.0095684886460004	0.760285938065789	0.380730400722792	-0.339165341974094	-1.70648013056263	44
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_DN	0.00943651159916895	0.760285938065789	0.380730400722792	-0.306796277266768	-1.61460565131607	52
GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	0.010505793611385	0.760285938065789	0.380730400722792	0.344832343927373	1.7156394035056	39
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN	0.0107798889714301	0.760285938065789	0.380730400722792	0.508101333025926	1.80674009125711	14
GSE27786_CD8_TCELL_VS_MONO_MAC_DN	0.0107019015437405	0.760285938065789	0.380730400722792	-0.366618479152865	-1.70873368644776	35
GSE27786_LSK_VS_CD8_TCELL_DN	0.01033460611686	0.760285938065789	0.380730400722792	-0.333617851540087	-1.71897716897027	48
GSE339_CD4POS_VS_CD4CD8DN_DC_UP	0.0105752151550726	0.760285938065789	0.380730400722792	0.362889382444817	1.74505704407204	36
GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP	0.0108524932856194	0.760285938065789	0.380730400722792	-0.368312423506617	-1.6914913833148	32
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_DN	0.00946925655933655	0.760285938065789	0.380730400722792	0.383347524485343	1.73846642433758	31
GSE42724_B1_BCELL_VS_PLASMABLAST_UP	0.0103104573597635	0.760285938065789	0.380730400722792	0.396713822885717	1.77445393778595	30
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP	0.00994678381356123	0.760285938065789	0.380730400722792	-0.348244345316702	-1.7666837451466	45
GSE9601_UNTREATED_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP	0.010007573885616	0.760285938065789	0.380730400722792	0.331180674180912	1.67796268860053	41
GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_DN	0.0129067926542896	0.782907154419957	0.380730400722792	-0.348254384203491	-1.67396100236661	39
GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN	0.0119507432171657	0.782907154419957	0.380730400722792	-0.297586030459689	-1.63957179762016	62
GSE15271_CXCR4_POS_VS_NEG_GC_BCELL_DN	0.0118121020685468	0.782907154419957	0.380730400722792	-0.300534055275108	-1.58164886609165	52
GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN	0.0128481138084033	0.782907154419957	0.380730400722792	0.3354503409072	1.67367572189443	40
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	0.0120684638139031	0.782907154419957	0.380730400722792	0.311596066779155	1.69498075240451	50
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.0124338514649051	0.782907154419957	0.380730400722792	0.366234963779635	1.68484233051247	33
GSE27786_CD4_TCELL_VS_NKCELL_DN	0.0122417168948072	0.782907154419957	0.380730400722792	0.326723413027355	1.73834496394263	47
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_PRO_BCELL_UP	0.0115589372345564	0.782907154419957	0.380730400722792	0.360300626373043	1.73260827252629	36
GSE44955_MCSF_VS_MCSF_AND_IL27_STIM_MACROPHAGE_DN	0.0127431195590359	0.782907154419957	0.380730400722792	-0.33448163588833	-1.6265269816451	41
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP	0.0123385799177317	0.782907154419957	0.380730400722792	-0.33536261523683	-1.63081103352377	41
GSE9601_UNTREATED_VS_NFKB_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_DN	0.0126263540064118	0.782907154419957	0.380730400722792	-0.269492417632964	-1.56674369426138	76
GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	0.0133454533779343	0.799762471106571	0.380730400722792	0.327794510468907	1.67585084322186	42
GSE14308_TH2_VS_INDUCED_TREG_UP	0.0137618384370378	0.800210555826355	0.380730400722792	-0.321359185225902	-1.64202679624513	47
GSE21379_TFH_VS_NON_TFH_CD4_TCELL_UP	0.0141521756868069	0.800210555826355	0.380730400722792	-0.291129880073441	-1.6145568929998	64
