pathway	pval	padj	log2err	ES	NES	size
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	4.37093361920905e-05	0.119183517952198	0.557332238758646	-0.429684513509731	-2.30228561683647	47
GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_DN	4.83699342338465e-05	0.119183517952198	0.557332238758646	-0.414026451021818	-2.25993088869689	51
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP	9.41750015697883e-05	0.154698135911972	0.538434096309916	-0.467772677936027	-2.29621679855399	36
GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_DN	0.000308130412707627	0.366454173080663	0.49849310876659	-0.433610101633397	-2.16164274942975	37
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_NEGATIVE	0.000371808211323725	0.366454173080663	0.49849310876659	-0.248507655648691	-1.78933232151472	175
GSE24142_DN2_VS_DN3_THYMOCYTE_FETAL_UP	0.000623607875788094	0.512189935313955	0.477270815362862	-0.431825477548115	-2.09875266642833	35
GSE7348_UNSTIM_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_DN	0.000733095673942531	0.516099354455542	0.477270815362862	-0.387129257177869	-2.08543619218702	48
GSE25146_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_AGS_CELL_DN	0.00107912119759074	0.590878806858573	0.45505986738723	-0.327742145304684	-1.8823511524625	65
GSE40274_CTRL_VS_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.00105450246304494	0.590878806858573	0.45505986738723	-0.425180100040113	-2.05844121683735	34
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	0.00152509780746681	0.626306832933037	0.45505986738723	-0.345217969460516	-1.89538369771597	52
GSE17721_CTRL_VS_CPG_0.5H_BMDC_DN	0.00128146086704572	0.626306832933037	0.45505986738723	-0.444951010942504	-2.04636231894151	27
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.00152506448183389	0.626306832933037	0.45505986738723	-0.548689790599357	-2.05203565122196	15
GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_DN	0.00173287221149452	0.656891866018847	0.45505986738723	-0.397875008044601	-1.99100136976404	38
GSE27291_0H_VS_7D_STIM_GAMMADELTA_TCELL_UP	0.00187777325969441	0.660976187412431	0.45505986738723	-0.361953857701013	-1.89684786734515	45
GSE19923_WT_VS_E2A_KO_DP_THYMOCYTE_DN	0.00219942385118241	0.677422546164181	0.431707695803346	-0.362083323241298	-1.85837383007086	42
GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_DN	0.00207597587109126	0.677422546164181	0.431707695803346	0.371286394415981	1.92198862936546	41
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN	0.00352066302334595	0.774283170581813	0.431707695803346	-0.397143962702078	-1.92270875745818	34
GSE13306_RA_VS_UNTREATED_TCONV_UP	0.00377625913445871	0.774283170581813	0.431707695803346	0.358986628262215	1.85831807464832	41
GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_12H_UP	0.00325978849021123	0.774283170581813	0.431707695803346	0.469597479467102	2.00032809117999	22
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.00419734288635566	0.774283170581813	0.407017918923954	-0.326555399479592	-1.80372067948744	53
GSE17721_0.5H_VS_12H_CPG_BMDC_DN	0.00350242538152195	0.774283170581813	0.431707695803346	-0.345864981190473	-1.85317354134572	47
GSE17721_0.5H_VS_8H_GARDIQUIMOD_BMDC_UP	0.00518493194586035	0.774283170581813	0.407017918923954	-0.343685586604704	-1.80111154534762	45
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_48H_CD4_TCELL_UP	0.00267359356454115	0.774283170581813	0.431707695803346	0.40081118424866	1.98703732172541	35
GSE21063_WT_VS_NFATC1_KO_BCELL_DN	0.00407101471706741	0.774283170581813	0.407017918923954	-0.312952086203049	-1.73205740678528	56
GSE27896_HDAC6_KO_VS_WT_TREG_UP	0.00382509318185617	0.774283170581813	0.431707695803346	-0.299416233164446	-1.76804266063803	70
GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_DN	0.00354809533452567	0.774283170581813	0.431707695803346	0.360848632939115	1.91326627881643	44
GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_UP	0.00498685494104911	0.774283170581813	0.407017918923954	-0.336164362854118	-1.83282732757803	49
GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.00451210253073087	0.774283170581813	0.407017918923954	-0.305173246359186	-1.74040436153563	64
GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP	0.0043509560117762	0.774283170581813	0.407017918923954	-0.346190198187479	-1.77680319209266	42
GSE40685_NAIVE_CD4_TCELL_VS_TREG_DN	0.00514761927675122	0.774283170581813	0.407017918923954	-0.359449080244721	-1.84192072377528	41
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.00472284533873579	0.774283170581813	0.407017918923954	-0.35824612693931	-1.83552618565228	40
GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	0.00488927890237087	0.774283170581813	0.407017918923954	0.396224842106003	1.88129163153811	30
GSE5455_EX_VIVO_VS_POST_24H_INCUBATION_MONOCYTES_FROM_TUMOR_BEARING_MOUSE_DN	0.00438481316881662	0.774283170581813	0.407017918923954	-0.311357095695964	-1.76231034964123	60
GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	0.00630014915675085	0.789872755589067	0.407017918923954	-0.335532695102485	-1.80748939289617	48
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.0061498703695256	0.789872755589067	0.407017918923954	-0.354582043292589	-1.81675271966275	40
GSE13306_TREG_VS_TCONV_DN	0.00562963162997101	0.789872755589067	0.407017918923954	-0.324483166225132	-1.77116589629608	51
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	0.00632222781268603	0.789872755589067	0.407017918923954	-0.351769758045003	-1.80256966271656	41
GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP	0.00641130483432684	0.789872755589067	0.407017918923954	-0.317268598806859	-1.77421878632063	57
GSE36078_UNTREATED_VS_AD5_INF_IL1R_KO_MOUSE_LUNG_DC_DN	0.00602620388052705	0.789872755589067	0.407017918923954	0.38438620361241	1.8364899403394	32
GSE7348_LPS_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_UP	0.00605173421310457	0.789872755589067	0.407017918923954	-0.305003584155645	-1.72634887871653	60
GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	0.00681650321254578	0.812364294392674	0.407017918923954	-0.321150818419105	-1.79588917651146	58
