pathway	pval	padj	log2err	ES	NES	size
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	0.0941422594142259	0.594877999596693	0.211400189384923	0.414553644386509	1.4438437625015	12
PID_AP1_PATHWAY	0.139846743295019	0.594877999596693	0.163180127180689	-0.352268789155868	-1.33994153318831	16
PID_AR_NONGENOMIC_PATHWAY	0.177387914230019	0.594877999596693	0.144630528034484	-0.368042107545238	-1.29038188607022	13
PID_AVB3_OPN_PATHWAY	0.133333333333333	0.594877999596693	0.172324344900946	0.392244857174033	1.33293655005965	11
PID_BMP_PATHWAY	0.0372735271166092	0.594877999596693	0.321775918075361	0.43142147864004	1.68031382047823	16
PID_CD8_TCR_DOWNSTREAM_PATHWAY	0.0482625482625483	0.594877999596693	0.287857117255149	-0.357336125347494	-1.56136743862529	24
PID_CD8_TCR_PATHWAY	0.0478927203065134	0.594877999596693	0.287857117255149	-0.344207135400426	-1.52278337123776	25
PID_CDC42_REG_PATHWAY	0.159763313609467	0.594877999596693	0.154190966581424	-0.396493348825485	-1.31341490317029	11
PID_DELTA_NP63_PATHWAY	0.188139059304703	0.594877999596693	0.143758989039275	-0.40376244408614	-1.28025305508501	10
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.118773946360153	0.594877999596693	0.178219874951973	-0.365579482237244	-1.39057204898847	16
PID_ENDOTHELIN_PATHWAY	0.145557655954631	0.594877999596693	0.158514105424824	-0.328932209809943	-1.32662541344481	20
PID_EPHA_FWDPATHWAY	0.133587786259542	0.594877999596693	0.166933848713193	-0.397144987280748	-1.37659099271799	12
PID_ERA_GENOMIC_PATHWAY	0.109433962264151	0.594877999596693	0.184706471207739	-0.334202612511473	-1.37995106329993	21
PID_FOXO_PATHWAY	0.104854368932039	0.594877999596693	0.191892240384838	-0.394752917325218	-1.4086147631629	14
PID_HEDGEHOG_GLI_PATHWAY	0.0867924528301887	0.594877999596693	0.208955027549354	-0.39619334526486	-1.46629602197619	15
PID_HES_HEY_PATHWAY	0.0640776699029126	0.594877999596693	0.248911114434702	-0.426697267346696	-1.52260323814313	14
PID_IGF1_PATHWAY	0.0419094409698125	0.594877999596693	0.321775918075361	0.512169529844604	1.69808295467692	10
PID_IL12_2PATHWAY	0.0481695568400771	0.594877999596693	0.287857117255149	-0.36213959595599	-1.52811537813957	22
PID_IL23_PATHWAY	0.190184049079755	0.594877999596693	0.142901149386948	-0.402769462366978	-1.27710450103245	10
PID_INSULIN_PATHWAY	0.104602510460251	0.594877999596693	0.199915231309662	0.409070267033139	1.4247457753138	12
PID_LKB1_PATHWAY	0.126415094339623	0.594877999596693	0.170932335370056	-0.36716317056719	-1.35885648472699	15
PID_LYSOPHOSPHOLIPID_PATHWAY	0.191570881226054	0.594877999596693	0.137250779610133	-0.333269041758468	-1.26767129114141	16
PID_MTOR_4PATHWAY	0.0261741081575469	0.594877999596693	0.352487857583619	-0.357841234646786	-1.59661578850385	26
PID_NCADHERIN_PATHWAY	0.159509202453988	0.594877999596693	0.157402899305283	-0.415806670489371	-1.31844298055906	10
PID_NOTCH_PATHWAY	0.0419094409698125	0.594877999596693	0.321775918075361	-0.459392562212536	-1.61066309729676	13
PID_P38_MKK3_6PATHWAY	0.0935672514619883	0.594877999596693	0.204294756516886	0.424115106223524	1.40614111291951	10
PID_P53_REGULATION_PATHWAY	0.119092627599244	0.594877999596693	0.176694268938498	-0.340823507765531	-1.37458452962818	20
