"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NVL",4.73919452557708e-05,1.67887140559344,1,0.125,1,"12","NVL"
"ADGRG1",6.15372510052452e-05,1.61110474475387,0.714,0.042,1,"12","ADGRG1"
"CPM",8.20458266191939e-05,1.94063312647155,0.714,0.042,1,"12","CPM"
"TSG101",9.88174943403386e-05,1.63929845007811,1,0.167,1,"12","TSG101"
"PQLC3",0.000117419940050553,1.32574299951242,0.571,0,1,"12","PQLC3"
"SPARCL1",0.000117419940050553,2.13999220042468,0.571,0,1,"12","SPARCL1"
"ZDHHC2",0.000117419940050553,1.21098092522659,0.571,0,1,"12","ZDHHC2"
"ATP5F1C",0.000117419940050553,1.26481057549466,0.571,0,1,"12","ATP5F1C"
"PSMA3",0.000117419940050553,1.26852151486754,0.571,0,1,"12","PSMA3"
"PLAG1",0.00018931376164049,1.29186601713303,0.714,0.042,1,"12","PLAG1"
"TRAM1",0.00018931376164049,1.42902350300029,0.714,0.042,1,"12","TRAM1"
"PAK1",0.00024794574253391,1.458438091574,0.714,0.042,1,"12","PAK1"
"POLG2",0.00024794574253391,1.2117472144816,0.714,0.042,1,"12","POLG2"
"GPI",0.000327698591031789,0.890463923616416,0.857,0.083,1,"12","GPI"
"NUDCD1",0.000691442650565221,1.39965419346409,0.571,0.042,1,"12","NUDCD1"
"BICDL1",0.000710831723497073,1.84301960383713,0.857,0.167,1,"12","BICDL1"
"NSRP1",0.000710831723497073,1.09966392878027,0.857,0.167,1,"12","NSRP1"
"ACBD3",0.000902789190274293,1.31419383305432,0.571,0.042,1,"12","ACBD3"
"WDR13",0.000902789190274293,1.10476292188749,0.571,0.042,1,"12","WDR13"
"ATN1",0.00101866852592629,1.1299203201899,0.714,0.125,1,"12","ATN1"
"DHDDS",0.00108090120315149,1.1918749443669,0.429,0,1,"12","DHDDS"
"KDM3A",0.00108090120315149,1.11824026159311,0.429,0,1,"12","KDM3A"
"UXS1",0.00108090120315149,1.12717431914014,0.429,0,1,"12","UXS1"
"TPRG1",0.00108090120315149,1.45718390043232,0.429,0,1,"12","TPRG1"
"SLC25A46",0.00108090120315149,1.11518473103251,0.429,0,1,"12","SLC25A46"
"TRERF1",0.00108090120315149,1.01754290916793,0.429,0,1,"12","TRERF1"
"AC211486.5",0.00108090120315149,1.01044441710851,0.429,0,1,"12","AC211486.5"
"PHTF2",0.00108090120315149,1.0046024549707,0.429,0,1,"12","PHTF2"
"LRCH4",0.00108090120315149,1.06194143960806,0.429,0,1,"12","LRCH4"
"GEMIN8",0.00108090120315149,1.01044441710851,0.429,0,1,"12","GEMIN8"
"MAOA",0.00108090120315149,1.06558603795798,0.429,0,1,"12","MAOA"
"KLC2",0.00108090120315149,1.06621184698935,0.429,0,1,"12","KLC2"
