"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC016773.1",2.38651371213899e-12,0.584598289183061,0.143,0,5.43743284173748e-08,"1","AC016773.1"
"ATP8A2",5.56491654747973e-09,0.805070815263832,0.214,0.009,0.000126791058617778,"1","ATP8A2"
"STX4",7.29947553397666e-09,1.3859795257622,0.357,0.032,0.000166311250566124,"1","STX4"
"NUDT6",1.78767327077145e-08,0.881671774308166,0.143,0.003,0.000407303478012568,"1","NUDT6"
"LINC02284",1.78767327077145e-08,0.876361901866537,0.143,0.003,0.000407303478012568,"1","LINC02284"
"TMEM176A",1.96903318493257e-08,0.817640590002415,0.143,0.003,0.000448624520855037,"1","TMEM176A"
"SYP",1.96903318493257e-08,0.720792454988653,0.143,0.003,0.000448624520855037,"1","SYP"
"CSTF2T",1.96903318493257e-08,0.811966450064646,0.143,0.003,0.000448624520855037,"1","CSTF2T"
"AC025262.1",1.96903318493257e-08,0.607613860923611,0.143,0.003,0.000448624520855037,"1","AC025262.1"
"DNASE2",1.96903318493257e-08,0.571383024781044,0.143,0.003,0.000448624520855037,"1","DNASE2"
"LMO2",2.16820461903641e-08,0.568717849220733,0.143,0.003,0.000494003740401256,"1","LMO2"
"UBR7",7.06142095189456e-07,1.28586185450934,0.214,0.015,0.0160887414967966,"1","UBR7"
"ESS2",7.44514144322378e-07,0.943379294277459,0.214,0.015,0.0169630102642411,"1","ESS2"
"CLPTM1",8.67962021227996e-07,1.48593179680043,0.429,0.067,0.0197756466916587,"1","CLPTM1"
"FAHD1",9.19076944976083e-07,0.736316437562884,0.214,0.015,0.0209402491143351,"1","FAHD1"
"EFHD1",1.61108567763712e-06,0.880818741078267,0.143,0.006,0.0367069760792841,"1","EFHD1"
"ALG10B",1.73155371541871e-06,0.646336774374723,0.143,0.006,0.0394517198520998,"1","ALG10B"
"PPL",1.73155371541871e-06,1.00947085796721,0.143,0.006,0.0394517198520998,"1","PPL"
"EIF4E2",2.69579135880537e-06,1.62491506251143,0.429,0.076,0.0614209103190216,"1","EIF4E2"
"GBA",5.08696479624582e-06,0.749587015642424,0.214,0.017,0.115901405917665,"1","GBA"
"MEAF6",1.88318808658158e-05,1.21320137985265,0.357,0.058,0.429065573646747,"1","MEAF6"
"SH2D4A",2.45639668351676e-05,1.38786591892962,0.143,0.009,0.559665420372458,"1","SH2D4A"
"MAP3K4",2.52823503422076e-05,1.48106281830871,0.643,0.224,0.576033070196858,"1","MAP3K4"
"MED22",2.7547484834503e-05,0.876923224401125,0.143,0.009,0.627641894469317,"1","MED22"
"C12orf10",2.7547484834503e-05,0.668689567527947,0.143,0.009,0.627641894469317,"1","C12orf10"
"ANKEF1",2.7547484834503e-05,0.736770052438218,0.143,0.009,0.627641894469317,"1","ANKEF1"
"HAGHL",2.91654705233239e-05,0.780067410799125,0.143,0.009,0.664506080403411,"1","HAGHL"
"SUPT4H1",2.91654705233239e-05,0.879200661568999,0.143,0.009,0.664506080403411,"1","SUPT4H1"
"MAGED2",3.08735271626694e-05,0.682126645956304,0.143,0.009,0.703422442874259,"1","MAGED2"
"OLMALINC",3.08735271626694e-05,0.886637614464393,0.143,0.009,0.703422442874259,"1","OLMALINC"
"BORCS6",3.08735271626694e-05,0.506627353231103,0.143,0.009,0.703422442874259,"1","BORCS6"
"MAP2",3.26763660032057e-05,0.411286336666068,0.143,0.009,0.744498323017039,"1","MAP2"
"IQSEC2",3.45789270045695e-05,0.399679113516788,0.143,0.009,0.787846272872111,"1","IQSEC2"
"AC007114.1",3.45789270045695e-05,0.508645929609923,0.143,0.009,0.787846272872111,"1","AC007114.1"
"RIOK2",4.41705493564164e-05,0.731532183633809,0.214,0.023,1,"1","RIOK2"
"KHSRP",5.21295832081938e-05,1.17584809859981,0.357,0.067,1,"1","KHSRP"
"AC138305.1",5.22783484248769e-05,1.28596208446229,0.286,0.044,1,"1","AC138305.1"
"STK32C",0.000101670679316745,1.0138097926735,0.214,0.026,1,"1","STK32C"
"PEPD",0.000103519168987713,1.39255071026842,0.286,0.047,1,"1","PEPD"
"SLC9B1",0.000109336433069355,0.730894427072729,0.286,0.044,1,"1","SLC9B1"
"AC007014.1",0.000120884945349181,1.37181937784352,0.214,0.026,1,"1","AC007014.1"
"LCMT1",0.000127007574803155,1.01024926210126,0.357,0.073,1,"1","LCMT1"
"TMEM68",0.000137049033893301,1.25006563047597,0.286,0.049,1,"1","TMEM68"
"ZDBF2",0.000138670153281843,0.977153383192561,0.214,0.026,1,"1","ZDBF2"
"MND1",0.000153392215425554,1.4342629455223,0.143,0.012,1,"1","MND1"
"SETD9",0.00016086731381627,0.859499375492912,0.143,0.012,1,"1","SETD9"
"GDE1",0.00016086731381627,0.69154135453673,0.143,0.012,1,"1","GDE1"
"PFAS",0.000176857396435304,0.801821102643744,0.143,0.012,1,"1","PFAS"
"ABCA10",0.000185401901534553,0.895008618599073,0.143,0.012,1,"1","ABCA10"
"COMMD8",0.000194333344888993,0.591779936686728,0.143,0.012,1,"1","COMMD8"
"TMEM254",0.000194333344888993,0.565622209551378,0.143,0.012,1,"1","TMEM254"
"PIK3R6",0.000194333344888993,0.543746925322273,0.143,0.012,1,"1","PIK3R6"
"ADORA2A-AS1",0.000194333344888993,0.5834600652069,0.143,0.012,1,"1","ADORA2A-AS1"
"LINC01470",0.000203667938538922,0.396536061569099,0.143,0.012,1,"1","LINC01470"
"PRR7",0.000203667938538922,0.500692071863513,0.143,0.012,1,"1","PRR7"
"TYROBP",0.000203667938538922,0.565584866576761,0.143,0.012,1,"1","TYROBP"
"ZNF568",0.000204670662775919,1.18255788929692,0.357,0.076,1,"1","ZNF568"
"FAM135B",0.000213422510574607,0.457886039238569,0.143,0.012,1,"1","FAM135B"
"DENND2D",0.000215068940525616,1.32417840600538,0.714,0.305,1,"1","DENND2D"
"ERMN",0.000223614525652699,0.39060755592762,0.143,0.012,1,"1","ERMN"
"AC005332.7",0.000227327146255835,1.17932034876479,0.214,0.029,1,"1","AC005332.7"
"CEP104",0.000284144995636611,0.71196662938485,0.357,0.073,1,"1","CEP104"
"MRPL13",0.000424945273627498,0.896887132024889,0.286,0.055,1,"1","MRPL13"
"NNMT",0.000481604303120423,1.18465982363155,0.214,0.032,1,"1","NNMT"
"THOC5",0.000555245558836512,0.631793510716479,0.286,0.052,1,"1","THOC5"
"MYRIP",0.000573763668329394,1.20800506370515,0.143,0.015,1,"1","MYRIP"
"TSR3",0.000573763668329394,1.12672617712966,0.143,0.015,1,"1","TSR3"
"AL133410.1",0.000607980607958573,0.884464268257045,0.214,0.032,1,"1","AL133410.1"
"C22orf23",0.000622187486564706,0.840651180821892,0.143,0.015,1,"1","C22orf23"
"PTCD2",0.000644077160186706,0.819771969950012,0.214,0.032,1,"1","PTCD2"
"AC024084.1",0.000668283033365195,1.25734431598921,0.357,0.087,1,"1","AC024084.1"
"ALS2",0.00067356167881958,1.24212909706782,0.286,0.058,1,"1","ALS2"
"ZNF2",0.000674391692745509,0.675792628768079,0.143,0.015,1,"1","ZNF2"
"FAM200A",0.000674391692745509,1.08227078845277,0.143,0.015,1,"1","FAM200A"
"SEMA7A",0.000674391692745509,0.97374940982666,0.143,0.015,1,"1","SEMA7A"
"EMC6",0.000674391692745509,0.552343739484807,0.143,0.015,1,"1","EMC6"
"TELO2",0.000682158796728805,0.588748872765541,0.214,0.032,1,"1","TELO2"
"MCF2",0.000701994539913708,0.61424946261624,0.143,0.015,1,"1","MCF2"
"ARFIP2",0.000701994539913708,0.640841648208033,0.143,0.015,1,"1","ARFIP2"
"CCDC102B",0.000701994539913708,0.923919587547376,0.143,0.015,1,"1","CCDC102B"
"ZNF555",0.000701994539913708,0.619333877318982,0.143,0.015,1,"1","ZNF555"
"CMAS",0.000722324797228499,0.64540028255291,0.214,0.032,1,"1","CMAS"
"ECSIT",0.000730347597085696,1.28472534404636,0.286,0.061,1,"1","ECSIT"
"LINC01322",0.00073064426078704,0.441956446245122,0.143,0.015,1,"1","LINC01322"
"CAMTA2",0.000752404683002839,0.888141821809829,0.286,0.058,1,"1","CAMTA2"
