"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MXD3",1.25147739887522e-15,1.47937129675855,0.4,0.004,2.85136610559731e-11,"3","MXD3"
"PDIA5",1.63958247272139e-15,2.20752985001756,0.4,0.004,3.73562470584841e-11,"3","PDIA5"
"AL513188.1",1.63958247272139e-15,1.57704834725679,0.4,0.004,3.73562470584841e-11,"3","AL513188.1"
"AL080317.3",2.14569518264092e-15,1.5621053832704,0.4,0.004,4.88875190412908e-11,"3","AL080317.3"
"PINK1",4.2603954382812e-12,1.8047828139759,0.2,0,9.70688496657988e-08,"3","PINK1"
"HEYL",4.2603954382812e-12,1.06344651465972,0.2,0,9.70688496657988e-08,"3","HEYL"
"AC117944.1",4.2603954382812e-12,0.799019820323287,0.2,0,9.70688496657988e-08,"3","AC117944.1"
"AC239868.2",4.2603954382812e-12,1.20400355704868,0.2,0,9.70688496657988e-08,"3","AC239868.2"
"AL356272.1",4.2603954382812e-12,1.20400355704868,0.2,0,9.70688496657988e-08,"3","AL356272.1"
"AC062029.1",4.2603954382812e-12,1.20400355704868,0.2,0,9.70688496657988e-08,"3","AC062029.1"
"PKP4-AS1",4.2603954382812e-12,1.8047828139759,0.2,0,9.70688496657988e-08,"3","PKP4-AS1"
"CCDC150",4.2603954382812e-12,1.06344651465972,0.2,0,9.70688496657988e-08,"3","CCDC150"
"TRPM8",4.2603954382812e-12,1.8047828139759,0.2,0,9.70688496657988e-08,"3","TRPM8"
"VIPR1",4.2603954382812e-12,0.799019820323287,0.2,0,9.70688496657988e-08,"3","VIPR1"
"PROS1",4.2603954382812e-12,1.8047828139759,0.2,0,9.70688496657988e-08,"3","PROS1"
"DBR1",4.2603954382812e-12,0.799019820323287,0.2,0,9.70688496657988e-08,"3","DBR1"
"AC069431.1",4.2603954382812e-12,1.8047828139759,0.2,0,9.70688496657988e-08,"3","AC069431.1"
"NSG1",4.2603954382812e-12,1.06344651465972,0.2,0,9.70688496657988e-08,"3","NSG1"
"BST1",4.2603954382812e-12,1.78952162897029,0.2,0,9.70688496657988e-08,"3","BST1"
