"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD83",1.20591985682429e-20,1.29969783168023,0.4,0,2.74756780178847e-16,"4","CD83"
"CCDC106",1.20591985682429e-20,1.6248723372773,0.4,0,2.74756780178847e-16,"4","CCDC106"
"TINF2",4.85280399733753e-14,1.28216982396289,0.4,0.005,1.10566286275338e-09,"4","TINF2"
"PUSL1",5.47140830327191e-11,1.88573747915842,0.2,0,1.24660566781747e-06,"4","PUSL1"
"AL020996.2",5.47140830327191e-11,1.00763428664623,0.2,0,1.24660566781747e-06,"4","AL020996.2"
"C1orf189",5.47140830327191e-11,1.21366531697231,0.2,0,1.24660566781747e-06,"4","C1orf189"
"FAM163A",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","FAM163A"
"PM20D1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","PM20D1"
"USH2A",5.47140830327191e-11,1.21366531697231,0.2,0,1.24660566781747e-06,"4","USH2A"
"ODC1",5.47140830327191e-11,1.88573747915842,0.2,0,1.24660566781747e-06,"4","ODC1"
"LINC01829",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","LINC01829"
"DGUOK-AS1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","DGUOK-AS1"
"ADH4",5.47140830327191e-11,1.05209400329029,0.2,0,1.24660566781747e-06,"4","ADH4"
"AC092611.1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","AC092611.1"
"ING2",5.47140830327191e-11,1.05209400329029,0.2,0,1.24660566781747e-06,"4","ING2"
"LINC02211",5.47140830327191e-11,1.21366531697231,0.2,0,1.24660566781747e-06,"4","LINC02211"
"TMEM217",5.47140830327191e-11,1.21366531697231,0.2,0,1.24660566781747e-06,"4","TMEM217"
"AL596202.1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","AL596202.1"
"LAMB4",5.47140830327191e-11,1.00763428664623,0.2,0,1.24660566781747e-06,"4","LAMB4"
"PCYT1B",5.47140830327191e-11,1.05209400329029,0.2,0,1.24660566781747e-06,"4","PCYT1B"
"RAB40A",5.47140830327191e-11,0.927762591936235,0.2,0,1.24660566781747e-06,"4","RAB40A"
"AC108002.1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","AC108002.1"
"CR769775.2",5.47140830327191e-11,1.86335270334289,0.2,0,1.24660566781747e-06,"4","CR769775.2"
"AL353693.1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","AL353693.1"
"BRD3OS",5.47140830327191e-11,1.05209400329029,0.2,0,1.24660566781747e-06,"4","BRD3OS"
"CDHR5",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","CDHR5"
"LDHC",5.47140830327191e-11,1.00763428664623,0.2,0,1.24660566781747e-06,"4","LDHC"
"AL035078.4",5.47140830327191e-11,1.21366531697231,0.2,0,1.24660566781747e-06,"4","AL035078.4"
"SLC35C1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","SLC35C1"
"AP003059.2",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","AP003059.2"
"AC068898.1",5.47140830327191e-11,1.05209400329029,0.2,0,1.24660566781747e-06,"4","AC068898.1"
"DDIT4-AS1",5.47140830327191e-11,1.00763428664623,0.2,0,1.24660566781747e-06,"4","DDIT4-AS1"
"RPEL1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","RPEL1"
"NEURL1",5.47140830327191e-11,0.537208326181374,0.2,0,1.24660566781747e-06,"4","NEURL1"
"EMX2",5.47140830327191e-11,1.21366531697231,0.2,0,1.24660566781747e-06,"4","EMX2"
"PLPP4",5.47140830327191e-11,1.21366531697231,0.2,0,1.24660566781747e-06,"4","PLPP4"
"MANSC4",5.47140830327191e-11,1.05209400329029,0.2,0,1.24660566781747e-06,"4","MANSC4"
