"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BRINP2",2.17667910104575e-09,1.13519477536793,0.182,0,4.95934566382265e-05,"5","BRINP2"
"AC015912.3",2.17667910104575e-09,0.856746776538336,0.182,0,4.95934566382265e-05,"5","AC015912.3"
"AC007292.3",2.17667910104575e-09,0.990344943919762,0.182,0,4.95934566382265e-05,"5","AC007292.3"
"TMEM9B",3.59395495126871e-08,1.4661250564029,0.273,0.01,0.000818846696097064,"5","TMEM9B"
"AL160290.2",4.99401739872822e-08,1.05763342620624,0.273,0.01,0.00113783692412624,"5","AL160290.2"
"AC006504.5",6.05518193631889e-08,1.861632076093,0.364,0.025,0.0013796126523709,"5","AC006504.5"
"LINC00923",7.30351786856605e-07,1.33577390071468,0.273,0.015,0.0166403351117409,"5","LINC00923"
"AL390719.2",1.70482815750836e-06,1.13146443326911,0.182,0.005,0.0388428047406704,"5","AL390719.2"
"IER5",1.70482815750836e-06,1.5309472241642,0.182,0.005,0.0388428047406704,"5","IER5"
"ZNF674",1.70482815750836e-06,1.43630069507818,0.182,0.005,0.0388428047406704,"5","ZNF674"
"GAS6",1.70482815750836e-06,1.55035592912208,0.182,0.005,0.0388428047406704,"5","GAS6"
"CCDC141",1.92952748598142e-06,0.864198792085949,0.182,0.005,0.0439623542406007,"5","CCDC141"
"HFE",1.92952748598142e-06,0.918530160216888,0.182,0.005,0.0439623542406007,"5","HFE"
"ENTPD2",2.182534332575e-06,0.900515425440757,0.182,0.005,0.0497268622333888,"5","ENTPD2"
"C21orf91",4.28938199833512e-06,1.46653892408338,0.273,0.02,0.0977292794500674,"5","C21orf91"
"GIMAP7",5.43086556638026e-06,1.19387764709256,0.273,0.02,0.123736841064408,"5","GIMAP7"
"TADA2A",6.16876788247918e-06,1.43452372314993,0.545,0.096,0.140549207434406,"5","TADA2A"
"MTERF4",6.85997960545577e-06,1.04683926569263,0.273,0.02,0.156297775330704,"5","MTERF4"
"WDFY2",1.52249711483798e-05,2.02183515171954,0.545,0.112,0.346885742644684,"5","WDFY2"
"AC009093.2",3.027586832142e-05,1.57220774432685,0.273,0.025,0.689805383835234,"5","AC009093.2"
"MECR",3.23964467858669e-05,1.00867883304708,0.273,0.025,0.738120643569191,"5","MECR"
"EIF3M",4.23750020464416e-05,1.41754901699194,0.273,0.025,0.965472046626126,"5","EIF3M"
"PGM2",4.96846062091944e-05,1.07491805200859,0.182,0.01,1,"5","PGM2"
"AP001528.1",4.96846062091944e-05,1.42842836147796,0.182,0.01,1,"5","AP001528.1"
"MRPS36",5.44936195728531e-05,0.805676339204108,0.182,0.01,1,"5","MRPS36"
"FKBP14",5.44936195728531e-05,1.07834908938414,0.182,0.01,1,"5","FKBP14"
"AC004918.1",5.44936195728531e-05,1.06871079826675,0.182,0.01,1,"5","AC004918.1"
