"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MYBPC3",2.16880955606801e-17,2.53833352933289,0.667,0.006,4.94141569254536e-13,"6","MYBPC3"
"KIF17",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","KIF17"
"PAQR6",2.81194647378885e-13,2.24522634238509,0.333,0,6.40673884588051e-09,"6","PAQR6"
"PROX1",2.81194647378885e-13,2.24522634238509,0.333,0,6.40673884588051e-09,"6","PROX1"
"GJC2",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","GJC2"
"AL359921.1",2.81194647378885e-13,2.24522634238509,0.333,0,6.40673884588051e-09,"6","AL359921.1"
"PLGLB1",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","PLGLB1"
"PROC",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","PROC"
"SYN2",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","SYN2"
"HYAL2",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","HYAL2"
"AC083800.1",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","AC083800.1"
"AC005699.1",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","AC005699.1"
"SLC7A11",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","SLC7A11"
"CYP4V2",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","CYP4V2"
"AC099499.1",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","AC099499.1"
"CDH9",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","CDH9"
"HCN1",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","HCN1"
"SMN2",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","SMN2"
"AC010609.1",2.81194647378885e-13,1.74661916277081,0.333,0,6.40673884588051e-09,"6","AC010609.1"
"FOXC1",2.81194647378885e-13,2.24522634238509,0.333,0,6.40673884588051e-09,"6","FOXC1"
"TUBB2A",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","TUBB2A"
"RNF182",2.81194647378885e-13,2.24522634238509,0.333,0,6.40673884588051e-09,"6","RNF182"
"FO393415.3",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","FO393415.3"
"AL121935.2",2.81194647378885e-13,2.34908330592784,0.333,0,6.40673884588051e-09,"6","AL121935.2"
"PDGFA",2.81194647378885e-13,2.34908330592784,0.333,0,6.40673884588051e-09,"6","PDGFA"
"NLGN4X",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","NLGN4X"
"MAOB",2.81194647378885e-13,2.24522634238509,0.333,0,6.40673884588051e-09,"6","MAOB"
"SPIN4",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","SPIN4"
"CXorf57",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","CXorf57"
"FMR1NB",2.81194647378885e-13,2.24522634238509,0.333,0,6.40673884588051e-09,"6","FMR1NB"
"AC025524.2",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","AC025524.2"
"CNGB3",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","CNGB3"
"IL11RA",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","IL11RA"
"SLC5A12",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","SLC5A12"
"AP003096.1",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","AP003096.1"
"TRPC6",2.81194647378885e-13,2.1806472122578,0.333,0,6.40673884588051e-09,"6","TRPC6"
"TRAPPC4",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","TRAPPC4"
"CFAP58",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","CFAP58"
"ABCC9",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","ABCC9"
"GTSF1",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","GTSF1"
"PHLDA1",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","PHLDA1"
"PTGR2",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","PTGR2"
"AC090971.1",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","AC090971.1"
"MYO5C",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","MYO5C"
"AC135050.2",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","AC135050.2"
"GINS3",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","GINS3"
"NAE1",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","NAE1"
"AC099684.2",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","AC099684.2"
"C17orf99",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","C17orf99"
"AC144831.1",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","AC144831.1"
"AC093462.1",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","AC093462.1"
"EFCAB8",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","EFCAB8"
"DOK5",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","DOK5"
"ZNF555",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","ZNF555"
"DOHH",2.81194647378885e-13,2.24522634238509,0.333,0,6.40673884588051e-09,"6","DOHH"
"SPECC1L",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","SPECC1L"
"LINC00310",2.81194647378885e-13,1.60762719013837,0.333,0,6.40673884588051e-09,"6","LINC00310"
"MAFIP",2.81194647378885e-13,1.12290876585116,0.333,0,6.40673884588051e-09,"6","MAFIP"
"SPICE1",4.99200063783563e-11,2.66566034631286,0.667,0.019,1.13737742532447e-06,"6","SPICE1"
"NECTIN3",3.16071551290834e-09,2.56418636907009,0.667,0.025,7.20137422461036e-05,"6","NECTIN3"
"CDKL5",5.09016877564562e-08,1.88929923839831,0.667,0.031,0.0011597440538431,"6","CDKL5"
"PIP4K2B",7.51992247891854e-08,2.27490963509111,0.667,0.031,0.0017133391375968,"6","PIP4K2B"
"PRKCZ",3.12990027275818e-07,1.57803835648146,0.333,0.006,0.00713116478145225,"6","PRKCZ"
"DNAJC6",3.12990027275818e-07,1.09573928106096,0.333,0.006,0.00713116478145225,"6","DNAJC6"
"COL24A1",3.12990027275818e-07,1.09512038005815,0.333,0.006,0.00713116478145225,"6","COL24A1"
"GLMP",3.12990027275818e-07,2.22193041036528,0.333,0.006,0.00713116478145225,"6","GLMP"
"AC012447.1",3.12990027275818e-07,1.09342768277251,0.333,0.006,0.00713116478145225,"6","AC012447.1"
"FAM171B",3.12990027275818e-07,2.20681938909121,0.333,0.006,0.00713116478145225,"6","FAM171B"
"EIF5A2",3.12990027275818e-07,3.05867355349937,0.333,0.006,0.00713116478145225,"6","EIF5A2"
"TLR3",3.12990027275818e-07,2.32771066839367,0.333,0.006,0.00713116478145225,"6","TLR3"
"PDLIM4",3.12990027275818e-07,2.20503389313447,0.333,0.006,0.00713116478145225,"6","PDLIM4"
"FGF1",3.12990027275818e-07,2.22661421863161,0.333,0.006,0.00713116478145225,"6","FGF1"
"HCG25",3.12990027275818e-07,1.72800703901733,0.333,0.006,0.00713116478145225,"6","HCG25"
"BYSL",3.12990027275818e-07,1.10270013186995,0.333,0.006,0.00713116478145225,"6","BYSL"
"PKIB",3.12990027275818e-07,1.09716111919491,0.333,0.006,0.00713116478145225,"6","PKIB"
"NDUFA4",3.12990027275818e-07,1.10299388033259,0.333,0.006,0.00713116478145225,"6","NDUFA4"
"GK-AS1",3.12990027275818e-07,1.57886035982693,0.333,0.006,0.00713116478145225,"6","GK-AS1"
"TMEM187",3.12990027275818e-07,2.20021947838829,0.333,0.006,0.00713116478145225,"6","TMEM187"
"AL390774.2",3.12990027275818e-07,1.09342768277251,0.333,0.006,0.00713116478145225,"6","AL390774.2"
"KDELC2",3.12990027275818e-07,2.20939983745064,0.333,0.006,0.00713116478145225,"6","KDELC2"
"CDNF",3.12990027275818e-07,1.71684234744963,0.333,0.006,0.00713116478145225,"6","CDNF"
"EMP1",3.12990027275818e-07,2.2220817731302,0.333,0.006,0.00713116478145225,"6","EMP1"
"KRT18",3.12990027275818e-07,1.09751355693914,0.333,0.006,0.00713116478145225,"6","KRT18"
"KTN1-AS1",3.12990027275818e-07,1.58061429367915,0.333,0.006,0.00713116478145225,"6","KTN1-AS1"
"AC022087.1",3.12990027275818e-07,1.10264033920013,0.333,0.006,0.00713116478145225,"6","AC022087.1"
"NKD1",3.12990027275818e-07,2.19959679851401,0.333,0.006,0.00713116478145225,"6","NKD1"
"RPGRIP1L",3.12990027275818e-07,2.21821344592587,0.333,0.006,0.00713116478145225,"6","RPGRIP1L"
"SETD6",3.12990027275818e-07,1.10025867566768,0.333,0.006,0.00713116478145225,"6","SETD6"
"VAT1L",3.12990027275818e-07,1.58245451424497,0.333,0.006,0.00713116478145225,"6","VAT1L"
"CENPN",3.12990027275818e-07,2.19490367993033,0.333,0.006,0.00713116478145225,"6","CENPN"
"AC134312.1",3.12990027275818e-07,1.09976419659626,0.333,0.006,0.00713116478145225,"6","AC134312.1"
"AC015849.1",3.12990027275818e-07,2.17606353403374,0.333,0.006,0.00713116478145225,"6","AC015849.1"
"THBD",3.12990027275818e-07,1.5766056319714,0.333,0.006,0.00713116478145225,"6","THBD"
"CD93",3.12990027275818e-07,1.70636312009669,0.333,0.006,0.00713116478145225,"6","CD93"
"C19orf70",3.12990027275818e-07,1.10264033920013,0.333,0.006,0.00713116478145225,"6","C19orf70"
"OLFM2",3.12990027275818e-07,2.80694928879134,0.333,0.006,0.00713116478145225,"6","OLFM2"
"PLPPR2",3.12990027275818e-07,2.22180172717631,0.333,0.006,0.00713116478145225,"6","PLPPR2"
"DEGS1",4.13125072691337e-07,2.33829631760714,0.667,0.037,0.00941264165619942,"6","DEGS1"
"CCL5",4.13125072691337e-07,2.44441542984214,0.667,0.037,0.00941264165619942,"6","CCL5"
"TSACC",4.39256924220239e-07,1.05018714894956,0.333,0.006,0.0100080297614339,"6","TSACC"
"FCRL6",4.39256924220239e-07,1.03948986291007,0.333,0.006,0.0100080297614339,"6","FCRL6"
"OST4",4.39256924220239e-07,1.08377606642622,0.333,0.006,0.0100080297614339,"6","OST4"
"CMTM8",4.39256924220239e-07,1.08271631660053,0.333,0.006,0.0100080297614339,"6","CMTM8"
"PLSCR2",4.39256924220239e-07,1.08736823126863,0.333,0.006,0.0100080297614339,"6","PLSCR2"
"CCDC39",4.39256924220239e-07,1.0904038640544,0.333,0.006,0.0100080297614339,"6","CCDC39"
"TMEM154",4.39256924220239e-07,1.07118297397177,0.333,0.006,0.0100080297614339,"6","TMEM154"
"RXFP1",4.39256924220239e-07,1.03715986305131,0.333,0.006,0.0100080297614339,"6","RXFP1"
"AC091982.1",4.39256924220239e-07,1.07553127295081,0.333,0.006,0.0100080297614339,"6","AC091982.1"
"TRAF3IP2",4.39256924220239e-07,1.08696657998411,0.333,0.006,0.0100080297614339,"6","TRAF3IP2"
"MYB",4.39256924220239e-07,0.971021000360194,0.333,0.006,0.0100080297614339,"6","MYB"
"AC007285.1",4.39256924220239e-07,1.05697264092948,0.333,0.006,0.0100080297614339,"6","AC007285.1"
"AC007384.1",4.39256924220239e-07,1.06744565909495,0.333,0.006,0.0100080297614339,"6","AC007384.1"
"SMO",4.39256924220239e-07,1.00732046507864,0.333,0.006,0.0100080297614339,"6","SMO"
"GPR173",4.39256924220239e-07,1.54690691672075,0.333,0.006,0.0100080297614339,"6","GPR173"
"AC087269.1",4.39256924220239e-07,1.07118297397177,0.333,0.006,0.0100080297614339,"6","AC087269.1"
"DAB2IP",4.39256924220239e-07,1.55164100010744,0.333,0.006,0.0100080297614339,"6","DAB2IP"
"USH1C",4.39256924220239e-07,1.46724203539376,0.333,0.006,0.0100080297614339,"6","USH1C"
"LRRC32",4.39256924220239e-07,1.02832278753149,0.333,0.006,0.0100080297614339,"6","LRRC32"
"KCNIP2-AS1",4.39256924220239e-07,1.02323963599037,0.333,0.006,0.0100080297614339,"6","KCNIP2-AS1"
"FAM81A",4.39256924220239e-07,1.00048389101288,0.333,0.006,0.0100080297614339,"6","FAM81A"
"RAI1-AS1",4.39256924220239e-07,1.08875844168465,0.333,0.006,0.0100080297614339,"6","RAI1-AS1"
"AC015849.3",4.39256924220239e-07,1.00214502159577,0.333,0.006,0.0100080297614339,"6","AC015849.3"
"AC004805.1",4.39256924220239e-07,1.057649208033,0.333,0.006,0.0100080297614339,"6","AC004805.1"
"INTS1",1.52076240512035e-06,2.25400276830226,1,0.105,0.034649050638262,"6","INTS1"
"FYN",1.5902081882062e-06,2.87251390897815,1,0.117,0.0362313033600901,"6","FYN"
