"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MCF2L",2.23604025945691e-10,2.9065091996319,0.4,0.007,5.09459412714661e-06,"7","MCF2L"
"AL132780.1",2.9350342169631e-10,1.85732471283993,0.4,0.007,6.68718195992873e-06,"7","AL132780.1"
"RNASEL",5.54163821217752e-09,2.2380702172694,0.6,0.033,0.000126260685026253,"7","RNASEL"
"FCGR1A",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","FCGR1A"
"CIART",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","CIART"
"IBA57",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","IBA57"
"SCCPDH",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","SCCPDH"
"GAREM2",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","GAREM2"
"FSHR",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","FSHR"
"CHMP3",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","CHMP3"
"MKRN2OS",3.89446893300528e-08,1.92048970694434,0.2,0,0.000887315801695922,"7","MKRN2OS"
"AC137630.2",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","AC137630.2"
"TUSC2",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","TUSC2"
"IL17RD",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","IL17RD"
"TMEM44-AS1",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","TMEM44-AS1"
"CPLX1",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","CPLX1"
"POLN",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","POLN"
"AC104078.2",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","AC104078.2"
"VEGFC",3.89446893300528e-08,1.92048970694434,0.2,0,0.000887315801695922,"7","VEGFC"
"TRIP13",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","TRIP13"
"SMIM15-AS1",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","SMIM15-AS1"
"AC093523.1",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","AC093523.1"
"AC018754.1",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","AC018754.1"
"AC104126.1",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","AC104126.1"
"TRPC7",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","TRPC7"
"SPRY4-AS1",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","SPRY4-AS1"
"NEURL1B",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","NEURL1B"
"AL669918.1",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","AL669918.1"
"FAM20C",3.89446893300528e-08,2.38265704984589,0.2,0,0.000887315801695922,"7","FAM20C"
"RAMP3",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","RAMP3"
"STX1A",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","STX1A"
"FSCN3",3.89446893300528e-08,1.7514054060244,0.2,0,0.000887315801695922,"7","FSCN3"
"GPR143",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","GPR143"
"CFAP47",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","CFAP47"
"AL158055.1",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","AL158055.1"
"PDZD11",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","PDZD11"
"ZNF711",3.89446893300528e-08,1.58930361244463,0.2,0,0.000887315801695922,"7","ZNF711"
"SMARCA1",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","SMARCA1"
"CCDC160",3.89446893300528e-08,1.92048970694434,0.2,0,0.000887315801695922,"7","CCDC160"
"CLN8",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","CLN8"
"LINC01606",3.89446893300528e-08,1.92048970694434,0.2,0,0.000887315801695922,"7","LINC01606"
"AC015522.1",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","AC015522.1"
"COL22A1",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","COL22A1"
"FBXO10",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","FBXO10"
"RASEF",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","RASEF"
"LINC01508",3.89446893300528e-08,1.58930361244463,0.2,0,0.000887315801695922,"7","LINC01508"
"TSPAN4",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","TSPAN4"
"AL078612.1",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","AL078612.1"
"AP003096.1",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","AP003096.1"
"PDZD3",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","PDZD3"
"ZWINT",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","ZWINT"
"EMX2OS",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","EMX2OS"
"EMX2",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","EMX2"
"AC092745.1",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","AC092745.1"
"IL26",3.89446893300528e-08,1.92048970694434,0.2,0,0.000887315801695922,"7","IL26"
"KCNC2",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","KCNC2"
"ANO4",3.89446893300528e-08,1.92048970694434,0.2,0,0.000887315801695922,"7","ANO4"
"AC002996.1",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","AC002996.1"
"TSC22D1-AS1",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","TSC22D1-AS1"
"RNF219-AS1",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","RNF219-AS1"
"IRS2",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","IRS2"
"SLC7A7",3.89446893300528e-08,1.92048970694434,0.2,0,0.000887315801695922,"7","SLC7A7"
"ABHD12B",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","ABHD12B"
"FAM71D",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","FAM71D"
"AL355838.1",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","AL355838.1"
"NUDT14",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","NUDT14"
"ISLR2",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","ISLR2"
"AL031709.1",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","AL031709.1"
"NPIPB12",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","NPIPB12"
"AC092123.1",3.89446893300528e-08,1.12659756977821,0.2,0,0.000887315801695922,"7","AC092123.1"
"DLG4",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","DLG4"
"AC015908.3",3.89446893300528e-08,0.729164137978566,0.2,0,0.000887315801695922,"7","AC015908.3"
"MED9",3.89446893300528e-08,1.92048970694434,0.2,0,0.000887315801695922,"7","MED9"
"AC243829.4",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","AC243829.4"
"LHX1-DT",3.89446893300528e-08,1.63574583004063,0.2,0,0.000887315801695922,"7","LHX1-DT"
"AC244093.5",3.89446893300528e-08,1.00325705779077,0.2,0,0.000887315801695922,"7","AC244093.5"
"AC004596.1",3.89446893300528e-08,1.7514054060244,0.2,0,0.000887315801695922,"7","AC004596.1"
