"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC107068.2",2.14695891817053e-23,1.96821217286571,0.667,0,4.89163119915974e-19,"8","AC107068.2"
"SOD2.1",1.84027474035687e-12,1.92176928644449,0.667,0.013,4.1928819684291e-08,"8","SOD2.1"
"ZNF550",1.84027474035687e-12,1.92085865151754,0.667,0.013,4.1928819684291e-08,"8","ZNF550"
"KIAA2013",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","KIAA2013"
"RIMKLA",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","RIMKLA"
"CFAP57",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","CFAP57"
"FCGR2A",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","FCGR2A"
"RN7SL832P",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","RN7SL832P"
"MEMO1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","MEMO1"
"AC019186.1",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","AC019186.1"
"CXCR2",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","CXCR2"
"SCG2",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","SCG2"
"NYAP2",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","NYAP2"
"TMEM115",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","TMEM115"
"B4GALT4-AS1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","B4GALT4-AS1"
"CXCL11",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","CXCL11"
"FAM198B-AS1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","FAM198B-AS1"
"MIR3945HG",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","MIR3945HG"
"LINC00491",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","LINC00491"
"AC091939.1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","AC091939.1"
"MAT2B",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","MAT2B"
"AL513188.1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","AL513188.1"
"AL031775.2",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","AL031775.2"
"SLC17A4",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","SLC17A4"
"AL365232.1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","AL365232.1"
"CASC6",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","CASC6"
"MOXD1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","MOXD1"
"AL391361.2",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","AL391361.2"
"AC007349.1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","AC007349.1"
"AC006329.1",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","AC006329.1"
"PTPRZ1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","PTPRZ1"
"CPA5",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","CPA5"
"ZNF775",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","ZNF775"
"SLC35A2",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","SLC35A2"
"KCND1",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","KCND1"
"CXorf40B",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","CXorf40B"
"AC044849.1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","AC044849.1"
"AMBP",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","AMBP"
"PACSIN3",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","PACSIN3"
"TMEM109",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","TMEM109"
"USP2-AS1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","USP2-AS1"
"AC004672.1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","AC004672.1"
"AC006064.1",2.55670737948629e-12,2.02330294434488,0.333,0,5.82520209342156e-08,"8","AC006064.1"
"CDCA3",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","CDCA3"
"AC025419.1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","AC025419.1"
"B3GNT4",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","B3GNT4"
"PRMT5-AS1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","PRMT5-AS1"
"AL161757.5",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","AL161757.5"
"AL049780.2",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","AL049780.2"
"AC021351.1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","AC021351.1"
"STOML1",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","STOML1"
"AL031709.1",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","AL031709.1"
"AC093525.6",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","AC093525.6"
"AC092117.1",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","AC092117.1"
"OTOA",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","OTOA"
"IL27",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","IL27"
"AC138028.6",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","AC138028.6"
"CABLES2",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","CABLES2"
"KANK3",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","KANK3"
"PRODH2",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","PRODH2"
"CNTD2",2.55670737948629e-12,1.25112053390392,0.333,0,5.82520209342156e-08,"8","CNTD2"
"PRX",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","PRX"
"AC011462.1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","AC011462.1"
"L34079.1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","L34079.1"
"MORC2-AS1",2.55670737948629e-12,1.34060046493781,0.333,0,5.82520209342156e-08,"8","MORC2-AS1"
"LINC01424",2.55670737948629e-12,1.34908696648341,0.333,0,5.82520209342156e-08,"8","LINC01424"
"ZNF777",3.63888845529219e-12,1.85659004163511,0.667,0.013,8.29084345653772e-08,"8","ZNF777"
"METTL17",1.56374702538089e-10,2.20778922537383,1,0.054,3.56284122262782e-06,"8","METTL17"
"FGF2",5.09974012880641e-10,2.33209512463152,0.667,0.02,1.16192479094725e-05,"8","FGF2"
"ZWILCH",5.09974012880641e-10,1.87388483740357,0.667,0.02,1.16192479094725e-05,"8","ZWILCH"
"AC117503.1",6.69488626778075e-10,1.802367899023,0.667,0.02,1.52536288725117e-05,"8","AC117503.1"
"EMC7",1.75632460030043e-08,1.78045262847746,0.667,0.027,0.00040016099693245,"8","EMC7"
"SEC14L6",1.50339121133817e-07,1.86365144083448,0.667,0.034,0.00342532653591288,"8","SEC14L6"
"MDH2",2.22842773382252e-07,1.82958855791404,0.667,0.034,0.00507724974874122,"8","MDH2"
"MPHOSPH10",4.37696547045651e-07,1.9608572556023,1,0.101,0.00997247812788812,"8","MPHOSPH10"
"AC005154.6",5.41291466895247e-07,2.21216072920247,1,0.094,0.0123327847817413,"8","AC005154.6"
"S1PR1",9.62704897802251e-07,1.32633385181087,0.333,0.007,0.0219342683915265,"8","S1PR1"
"HAAO",9.62704897802251e-07,2.00270393565333,0.333,0.007,0.0219342683915265,"8","HAAO"
"LINC01812",9.62704897802251e-07,1.32364320647306,0.333,0.007,0.0219342683915265,"8","LINC01812"
"CHN1",9.62704897802251e-07,1.22857930369284,0.333,0.007,0.0219342683915265,"8","CHN1"
"ACOX2",9.62704897802251e-07,1.32409634421621,0.333,0.007,0.0219342683915265,"8","ACOX2"
"LINC02035",9.62704897802251e-07,1.21632165526842,0.333,0.007,0.0219342683915265,"8","LINC02035"
"AC092903.2",9.62704897802251e-07,1.33037130769244,0.333,0.007,0.0219342683915265,"8","AC092903.2"
